Gene;Waves;Gene.Clusters;q.val;ABCs
Id3;1;Clust.1;0;1127.87
Fabp7;1;Clust.1;0;556.539
Rspo1;1;Clust.1;0;887.791
Id1;1;Clust.1;0;527.57
Ezr;1;Clust.1;0;597.645
Hes5;1;Clust.1;2.95340550470917e-58;111.471
Mest;1;Clust.1;1.2478010668618e-206;112.053
Rspo2;1;Clust.1;0;336.406
Sulf1;1;Clust.1;0;96.564
Tubb4b;1;Clust.1;7.26183091604924e-68;89.603
H1fx;1;Clust.1;4.8170400615892e-50;80.101
Pcsk1n;1;Clust.1;3.77635310524515e-245;154.737
Ptn;1;Clust.1;0;136.192
Ly6h;1;Clust.1;0;401.655
Vim;1;Clust.1;4.71880756114621e-52;45.632
Wls;1;Clust.1;0;246.595
Rhoc;1;Clust.1;0;130.122
Cntnap2;1;Clust.1;0;212
Sparc;1;Clust.1;4.82379175155524e-315;148.131
Cited2;1;Clust.1;0;266.938
Fth1;1;Clust.1;4.99571796516063e-293;547.589
Sox2;1;Clust.1;2.15527758368413e-216;125.37
Lmo2;1;Clust.1;6.8181059126092e-322;195.106
Tpbg;1;Clust.1;0;133.343
Hspa5;1;Clust.1;9.33831390925249e-174;6.74
Jam3;1;Clust.1;1.25211123818475e-315;140.317
Lrp1b;1;Clust.1;0;98.334
Hsp90b1;1;Clust.1;1.78494563033987e-120;11.914
Peg3;1;Clust.1;1.02409019858952e-295;95.452
E330013P04Rik;1;Clust.1;3.04131779384451e-52;50.893
Msx1;1;Clust.1;2.00695913663053e-97;23.439
Lig1;1;Clust.1;2.49760880482395e-64;41.703
Rfxap;1;Clust.1;0;105.379
Ntrk2;1;Clust.1;0;101.774
Sox9;1;Clust.1;3.25927273483051e-89;11.176
Pygl;1;Clust.1;2.39679616067276e-304;41.006
Msx2;1;Clust.1;0;52.94
Tmem108;1;Clust.1;1.11419369226167e-278;66.399
Hes1;1;Clust.1;1.83049543223386e-50;30.039
Klhl13;1;Clust.1;0;144.88
Clic6;1;Clust.1;3.15925031636172e-147;23.094
Dkk3;1;Clust.1;0;54.366
Fgfr3;1;Clust.1;1.13126347066563e-72;21.647
Slbp;1;Clust.1;9.5140051179779e-52;59.072
Cachd1;1;Clust.1;3.50754379471872e-123;42.147
Pcp4l1;1;Clust.1;5.9837816390006e-279;26.477
Wnt3a;1;Clust.1;0;54.688
Nxn;1;Clust.1;0;101.334
Irf2bpl;1;Clust.1;2.15556874841572e-280;54.084
Lrrtm3;1;Clust.1;0;33.38
Clu;1;Clust.1;4.9526542527002e-234;27.177
Asb4;1;Clust.1;6.51010896259693e-184;27.364
Unc5c;1;Clust.1;1.42957680750908e-138;16.834
Slc14a2;1;Clust.1;8.0235985115996e-255;30.359
Ier5l;1;Clust.1;3.76633553955571e-82;50.1
Fam181b;1;Clust.1;3.73854684385628e-147;32.309
Sertm1;1;Clust.1;0;45.783
Pdia6;1;Clust.1;6.115807196327e-106;9.393
Tpm1;1;Clust.1;4.70433600115914e-179;61.214
Axin2;1;Clust.1;1.26439055753753e-295;86.007
Gpm6a;1;Clust.1;1.42397035304563e-273;45.409
Igfbp5;1;Clust.1;1.96094966506983e-77;37.035
Folr1;1;Clust.1;1.16556801313936e-265;35.199
Wnt9a;1;Clust.1;0;43.844
Ednrb;1;Clust.1;2.8696640673413e-65;9.368
Gm17750;1;Clust.1;4.71860937330113e-85;36.387
Ccdc3;1;Clust.1;1.3460020948265e-222;19.705
Rbm47;1;Clust.1;6.59433473036772e-72;7.09
Slc6a15;1;Clust.1;2.70624918838102e-111;17.612
Sgk1;1;Clust.1;1.62405435977423e-114;21.484
Rfx4;1;Clust.1;2.3681047187665e-69;28.243
Dtl;1;Clust.1;6.73561845646445e-60;14.623
Ooep;1;Clust.1;1.35379456376891e-118;41.077
Kcnk1;1;Clust.1;7.74208950393521e-101;14.334
AI854517;1;Clust.1;1.75110009473737e-232;60.911
Cacng4;1;Clust.1;1.70825675135724e-126;86.126
Pgrmc1;1;Clust.1;3.46104766403821e-281;126.504
Fstl1;1;Clust.1;1.48297547226695e-198;51.914
Tmem132c;1;Clust.1;3.08479766613547e-173;17.405
Kdr;1;Clust.1;7.35831838334164e-62;5.191
Cdk6;1;Clust.1;9.42143573853409e-84;21.32
Arl4a;1;Clust.1;1.56193891338231e-197;56.048
Ldb2;1;Clust.1;1.45503750379301e-208;26.028
Ptpre;1;Clust.1;2.83357795162731e-62;11.016
Bambi;1;Clust.1;7.98106266836392e-81;15.205
Hs2st1;1;Clust.1;2.37214294727418e-66;59.64
Sept4;1;Clust.1;5.47700725792339e-73;8.846
Stx3;1;Clust.1;3.41030914080767e-139;15.06
Cux2;1;Clust.1;1.07430729393798e-255;33.705
Spaca6;1;Clust.1;1.00724796995556e-63;29.1
Maf;1;Clust.1;2.96629674368703e-48;9.897
Fzd10;1;Clust.1;6.3704336124541e-229;25.148
Tenm4;1;Clust.1;5.82225651905146e-50;32.995
Bcl2;1;Clust.1;3.49747633692062e-107;13.157
Slc1a3;1;Clust.1;1.4980678592182e-183;27.151
Ctgf;1;Clust.1;1.32327459555772e-51;6.89
Ext1;1;Clust.1;7.92657885108424e-122;43.663
Nrip1;1;Clust.1;8.84679800489318e-152;34.983
Nenf;1;Clust.1;6.82365484319159e-176;59.545
Emb;1;Clust.1;2.8195595364106e-70;20.259
Malat1;2;Clust.2;5.41954193105001e-223;3188.937
Nnat;2;Clust.2;0;3184.835
Cdkn1a;2;Clust.2;0;1084.292
Phlda3;2;Clust.2;1.6108984147768e-314;172.047
Tmsb10;2;Clust.2;7.36830745838969e-61;118.675
Klf7;2;Clust.2;1.13814889200932e-76;47.817
Basp1;2;Clust.2;1.53046580568214e-129;171.574
H3f3b;2;Clust.2;0;523.18
Ftl1;2;Clust.2;1.74886004601961e-159;336.753
Zfp503;2;Clust.2;0;148.781
Ncam1;2;Clust.2;2.50090534615102e-57;77.59
Cnih2;2;Clust.2;1.83173792088013e-173;116.388
Wnt7b;2;Clust.2;0;226.828
Ppp2r2b;2;Clust.2;8.83139702041113e-72;56.49
Plk2;2;Clust.2;1.60874241584891e-58;30.441
Perp;2;Clust.2;9.42245420205386e-82;33.67
Mfge8;2;Clust.2;1.00942374333461e-172;58.369
9530053A07Rik;2;Clust.2;4.07869309537634e-60;23.722
Nsg2;2;Clust.2;1.54705165335349e-135;34.609
Pdgfa;2;Clust.2;9.41995331676473e-69;16.773
Jund;2;Clust.2;2.98833065884884e-80;170.079
Ptp4a3;2;Clust.2;3.58035182262218e-102;47.896
Crip2;2;Clust.2;9.63749936055556e-198;176.698
Kcnk2;2;Clust.2;0;107.313
Zfhx3;2;Clust.2;1.12088095816302e-182;56.734
Ccng1;2;Clust.2;1.51993852731842e-121;52.721
Ddah2;2;Clust.2;5.27694148238642e-251;247.699
Baiap2;2;Clust.2;1.48793554825968e-154;55.686
6330403K07Rik;2;Clust.2;0;237.855
Fign;2;Clust.2;2.44842220077471e-67;17.486
Cmip;2;Clust.2;1.3415192864695e-64;26.303
Runx1t1;2;Clust.2;4.34065501463474e-135;29.779
Thra;2;Clust.2;9.89444167348821e-55;59.613
Cebpb;2;Clust.2;1.72759612515561e-56;19.775
Riiad1;2;Clust.2;9.10348074341682e-100;46.256
Cox6b2;2;Clust.2;1.04572020262123e-103;41.076
Sel1l3;2;Clust.2;8.53557816296057e-80;32.106
Epb41l4a;2;Clust.2;9.67519979622389e-71;28.054
Junb;2;Clust.2;4.40565575862469e-43;14.025
Prrt1;2;Clust.2;1.67227924357164e-51;15.248
Mid1ip1;2;Clust.2;5.34130541604847e-169;73.655
Sptbn1;2;Clust.2;4.28914474697665e-73;10.414
Pmepa1;2;Clust.2;4.12703174534556e-57;43.563
Emx2;2;Clust.2;1.38820674052731e-54;47.416
Dusp1;2;Clust.2;4.18530140125181e-58;37.013
1110017D15Rik;2;Clust.2;4.24116050563224e-52;20.672
Tppp3;2;Clust.2;1.93090123957622e-53;11.846
Hsd11b2;2;Clust.2;5.04461499480693e-65;19.26
Adgrl3;2;Clust.2;4.19220252835764e-100;38.873
Vldlr;2;Clust.2;2.29431394344747e-150;32.729
Mtcl1;2;Clust.2;9.22204086290415e-156;39.398
Zic2;2;Clust.2;6.48575778047351e-268;104.994
Lpl;2;Clust.2;2.61967601622044e-62;9.793
Rbms1;2;Clust.2;1.47602164764164e-71;16.974
Pltp;2;Clust.2;2.04379162467561e-158;27.851
Mapre2;2;Clust.2;8.19253780433861e-79;30.967
Aifm3;2;Clust.2;4.39956974227452e-54;9.966
Maged2;2;Clust.2;1.2803741625101e-86;56.683
Cdkn1c;3;Clust.3;5.91239847730709e-101;338.255
Rspo3;3;Clust.3;0;2438.616
Ccno;3;Clust.3;2.16211346575792e-288;383.157
Csrp2;3;Clust.3;0;591.217
Krt8;3;Clust.3;3.1403036917669e-92;61.568
Shisa8;3;Clust.3;7.2836530293763e-233;148.136
Gmnc;3;Clust.3;4.75560210991327e-227;240.921
Cenpw;3;Clust.3;0;752.398
Igfbpl1;3;Clust.3;2.09879829503889e-57;191.144
Foxj1;3;Clust.3;0;193.806
mt-Atp6;3;Clust.3;7.11916291833285e-166;1062.849
Mcidas;3;Clust.3;2.05641031962395e-270;128.835
Fam110a;3;Clust.3;8.26464335326537e-46;24.838
E2f7;3;Clust.3;1.56059225511589e-234;139.946
Ccdc67;3;Clust.3;7.63719872244112e-123;49.295
Sfn;3;Clust.3;1.29306427275145e-42;19.186
Kcnq1ot1;3;Clust.3;4.29155982970415e-50;153.249
Nkd1;3;Clust.3;1.35147654298889e-94;160.801
Chrna3;3;Clust.3;2.63739465628849e-114;92.501
Hsp90aa1;3;Clust.3;1.86583871403258e-233;306.497
Cdk1;3;Clust.3;5.0402894852843e-139;94.175
Calm1;3;Clust.3;3.76246037160513e-177;357.922
Pthlh;3;Clust.3;5.82665216990567e-202;54.045
Pou3f2;3;Clust.3;3.39538718246319e-235;107.595
Clmn;3;Clust.3;7.9547976494863e-142;59.463
Irx5;3;Clust.3;5.7891359081815e-137;47.738
Rab15;3;Clust.3;1.0868216740129e-138;52.326
Casp7;3;Clust.3;3.02974779108634e-109;38.702
