query;significant;p_value;term_size;query_size;intersection_size;precision;recall;term_id;source;term_name;effective_domain_size;source_order;parents;evidence_codes;intersection
Clust.1;TRUE;1.12316965888114e-15;2229;83;40;0.481927710843373;0.0179452669358457;GO:0007399;GO:BP;nervous system development;22779;3278;GO:0048731;IEP,IMP,ISO,IDA IMP IGI ISO IBA,IMP,IGI,IMP ISS ISO,IMP IGI ISO,IMP,IMP IGI IEP TAS,IMP,IDA IMP,IMP ISO,IMP,IMP,IDA IMP IGI ISS ISO IBA,IMP IGI IEP IBA,IMP IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI ISO IBA TAS,ISO,IDA ISO,ISS ISO,IDA IMP IGI ISS ISO IBA,IDA ISS ISO IBA,IMP,IBA,IDA IMP ISO,ISO IBA,IMP IBA,ISO,ISO,IBA,ISO,IMP,IMP ISS ISO IBA,IDA IMP,IMP,IMP IGI,IBA;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Cntnap2,Cited2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Tmem108,Hes1,Wnt3a,Irf2bpl,Lrrtm3,Clu,Unc5c,Gpm6a,Folr1,Wnt9a,Ednrb,Sgk1,Rfx4,Kdr,Cdk6,Ldb2,Stx3,Cux2,Tenm4,Bcl2,Slc1a3,Ext1,Emb
Clust.1;TRUE;1.78423961175775e-15;2586;83;42;0.506024096385542;0.0162412993039443;GO:0009653;GO:BP;anatomical structure morphogenesis;22779;4023;c("GO:0032502", "GO:0048856");IEP,IMP ISO,ISO,IEP,IMP IGI,IDA ISS ISO,IMP ISO,ISO,IMP,ISS IBA,IMP,ISO,IMP IGI,IMP,IMP,IDA ISO,IMP IGI ISO IBA,IMP ISS ISO,IMP IGI IEP ISS ISO IBA,IMP IGI IBA,IMP IBA,IMP IGI IEP,IDA IMP IGI ISO TAS,ISS ISO,IDA,IDA IMP IGI IBA,IMP ISO,IDA IMP IGI ISO,IDA,IMP,IMP,IDA IMP,ISO IBA,IDA IMP IGI ISO IBA,ISO,IMP,IMP,IMP ISS ISO,IDA IMP IGI,IMP,IMP IGI,IBA;Id3,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Rhoc,Cntnap2,Sparc,Cited2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Sgk1,Kdr,Bambi,Hs2st1,Cux2,Tenm4,Bcl2,Slc1a3,Ext1,Emb
Clust.1;TRUE;2.86166438163206e-15;4523;83;53;0.63855421686747;0.0117178863586115;GO:0048731;GO:BP;system development;22779;15045;c("GO:0007275", "GO:0048856");IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IDA IMP IGI ISO,IMP,IMP IGI IEP TAS,IMP ISO,IMP IGI ISS ISO,IMP IGI,IDA IMP,IMP ISO,IDA IMP ISO,IPI IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,IMP,ISO,IDA ISO,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IMP ISO,IMP IGI ISO,IDA ISS ISO IBA,IMP,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,ISO IBA,IMP IBA,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IGI IBA,ISO,IMP,ISO,IMP,IDA IMP IBA,IMP ISS ISO IBA,IDA IMP IGI,IMP,IMP IGI,IMP,IBA;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Nxn,Irf2bpl,Lrrtm3,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Sgk1,Rfx4,Kdr,Cdk6,Ldb2,Bambi,Hs2st1,Stx3,Cux2,Maf,Tenm4,Bcl2,Slc1a3,Ext1,Nrip1,Emb
Clust.1;TRUE;4.47293752979745e-15;5419;83;57;0.686746987951807;0.0105185458571692;GO:0048522;GO:BP;positive regulation of cellular process;22779;14858;c("GO:0009987", "GO:0048518", "GO:0050794");ISO,ISO,IGI ISO,IDA IMP IGI ISS ISO,IDA IMP IGI ISO,ISS ISO IBA,IMP ISS ISO,ISO,IMP ISS ISO,IMP ISO,ISO,ISO,IDA IMP ISS ISO,IGI ISO,IDA IGI,IMP ISS ISO,ISO,IGI,IMP IGI ISO,IDA ISO,IDA IMP ISS ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IPI IGI ISO,IMP,IDA IMP IGI ISO,IDA IGI ISO NAS,ISO,IDA IMP ISO,IDA IMP ISS ISO IBA,IDA,IMP,ISO,ISO,ISS ISO,IMP IGI ISO,IMP,ISO,IDA,ISO,IDA ISO,ISO,IMP,ISO IBA,ISO,IDA IMP ISS ISO IBA TAS,ISO,IGI IBA,ISO,IMP ISO,IMP,IDA IMP ISO,ISO,IMP,IDA IMP IGI ISO,IMP,ISO IBA,IDA;Id3,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Peg3,Msx1,Rfxap,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Irf2bpl,Lrrtm3,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Wnt9a,Ednrb,Ccdc3,Sgk1,Rfx4,Dtl,Ooep,Cacng4,Pgrmc1,Kdr,Cdk6,Ldb2,Bambi,Stx3,Cux2,Maf,Fzd10,Tenm4,Bcl2,Slc1a3,Nrip1,Nenf
Clust.1;TRUE;4.47293752979745e-15;5902;83;59;0.710843373493976;0.00999661131819722;GO:0032502;GO:BP;developmental process;22779;8814;GO:0008150;IDA IMP IGI IEP IBA,IMP,IMP IGI ISO IBA,IGI ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IDA IMP IGI ISO,IMP,ISS IBA,IMP IGI IEP TAS,IMP ISO IBA,IMP IGI ISS ISO IBA,IMP IGI,IDA IMP,IMP ISO TAS,IDA IMP ISO,IDA IPI IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,IMP,ISO,IDA ISO,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IMP ISO,IDA IMP IGI ISO,IDA ISS ISO IBA,IMP IGI IEP,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IDA,IMP,ISO IBA,IMP IBA,IDA IMP IBA,IMP IBA,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IDA,IGI IBA,ISO,IMP,ISO,IMP,IDA IMP IBA,IMP ISS ISO IBA,IDA IMP IGI,IMP,IMP IGI,IMP,IBA;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Nxn,Irf2bpl,Lrrtm3,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Ednrb,Ccdc3,Rbm47,Sgk1,Rfx4,Ooep,Fstl1,Kdr,Cdk6,Arl4a,Ldb2,Bambi,Hs2st1,Stx3,Cux2,Maf,Tenm4,Bcl2,Slc1a3,Ext1,Nrip1,Emb
Clust.1;TRUE;4.47293752979745e-15;5456;83;57;0.686746987951807;0.0104472140762463;GO:0048856;GO:BP;anatomical structure development;22779;15160;GO:0032502;IDA IMP IGI IEP,IMP,IMP IGI ISO,ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IDA IMP IGI ISO,IMP,ISS IBA,IMP IGI IEP TAS,IMP ISO IBA,IMP IGI ISS ISO IBA,IMP IGI,IDA IMP,IMP ISO TAS,IDA IMP ISO,IDA IPI IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO IBA,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,IMP,ISO,IDA ISO,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IMP ISO,IDA IMP IGI ISO,IDA ISS ISO IBA,IMP IGI,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,ISO IBA,IMP IBA,IDA IMP IBA,IMP,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IGI IBA,ISO,IMP,ISO,IMP,IDA IMP IBA,IMP ISS ISO IBA,IDA IMP IGI,IMP,IMP IGI,IMP,IBA;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Nxn,Irf2bpl,Lrrtm3,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Sgk1,Rfx4,Ooep,Fstl1,Kdr,Cdk6,Ldb2,Bambi,Hs2st1,Stx3,Cux2,Maf,Tenm4,Bcl2,Slc1a3,Ext1,Nrip1,Emb
Clust.1;TRUE;4.75734897055693e-15;4858;83;54;0.650602409638554;0.0111156854672705;GO:0007275;GO:BP;multicellular organism development;22779;3168;c("GO:0032501", "GO:0048856");IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IDA IMP IGI ISO,IMP,IMP IGI IEP TAS,IMP ISO,IMP IGI ISS ISO IBA,IMP IGI,IDA IMP,IMP ISO TAS,IDA IMP ISO,IPI IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO IBA,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,IMP,ISO,IDA ISO,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IMP ISO,IDA IMP IGI ISO,IDA ISS ISO IBA,IMP,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,ISO IBA,IMP IBA,IDA IMP IBA,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IGI IBA,ISO,IMP,ISO,IMP,IDA IMP IBA,IMP ISS ISO IBA,IDA IMP IGI,IMP,IMP IGI,IMP,IBA;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Nxn,Irf2bpl,Lrrtm3,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Sgk1,Rfx4,Ooep,Kdr,Cdk6,Ldb2,Bambi,Hs2st1,Stx3,Cux2,Maf,Tenm4,Bcl2,Slc1a3,Ext1,Nrip1,Emb
Clust.1;TRUE;3.0970788771596e-14;3912;83;48;0.578313253012048;0.0122699386503067;GO:0030154;GO:BP;cell differentiation;22779;7722;GO:0048869;IDA IMP IGI IBA,IMP,IMP IGI ISO IBA,ISO,IDA IMP IGI ISS ISO IBA,IMP IGI,IMP,IMP ISS ISO,IDA IMP IGI ISO,IMP IGI TAS,IMP,IMP,IMP,ISO,IMP,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,ISS ISO,IDA,IDA IMP IGI IBA,ISO,IMP ISO,IDA ISS ISO IBA,IMP IGI IEP,IMP,IMP IGI IBA,IDA IMP IGI ISO,IDA,IMP,ISO IBA,IMP IBA,IDA IMP ISO IBA TAS,IMP ISS ISO,IDA,ISO,ISO,IMP,IMP IBA,IMP ISS ISO IBA,IDA IMP IGI,IMP,IMP IGI,IBA;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Cntnap2,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Ednrb,Ccdc3,Rbm47,Sgk1,Fstl1,Kdr,Cdk6,Arl4a,Bambi,Stx3,Cux2,Maf,Tenm4,Bcl2,Slc1a3,Ext1,Emb
Clust.1;TRUE;8.96579517182428e-14;4026;83;48;0.578313253012048;0.0119225037257824;GO:0048869;GO:BP;cellular developmental process;22779;15172;c("GO:0009987", "GO:0032502");IDA IMP IGI IBA,IMP,IMP IGI ISO IBA,ISO,IDA IMP IGI ISS ISO IBA,IMP IGI,IMP,IMP ISS ISO,IDA IMP IGI ISO,IMP IGI TAS,IMP,IMP,IMP,ISO,IMP,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,ISS ISO,IDA,IDA IMP IGI IBA,ISO,IMP ISO,IDA ISS ISO IBA,IMP IGI IEP,IMP,IMP IGI IBA,IDA IMP IGI ISO,IDA,IMP,ISO IBA,IMP IBA,IDA IMP ISO IBA TAS,IMP ISS ISO,IDA,ISO,ISO,IMP,IMP IBA,IMP ISS ISO IBA,IDA IMP IGI,IMP,IMP IGI,IBA;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Cntnap2,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Ednrb,Ccdc3,Rbm47,Sgk1,Fstl1,Kdr,Cdk6,Arl4a,Bambi,Stx3,Cux2,Maf,Tenm4,Bcl2,Slc1a3,Ext1,Emb
Clust.1;TRUE;1.59435934395684e-13;5937;83;57;0.686746987951807;0.00960080848913593;GO:0048518;GO:BP;positive regulation of biological process;22779;14854;c("GO:0008150", "GO:0050789");IDA IGI ISO,IDA IGI ISO,IGI ISO,IDA IMP IGI ISS ISO,IDA IMP IGI ISO,IGI ISS ISO IBA,IMP ISS ISO,IMP ISO,IMP ISS ISO,IMP ISO,ISO,ISO,IDA IMP ISS ISO,IGI ISO,IDA IGI,IMP ISS ISO TAS,ISO,IGI,IMP IGI ISO,IDA ISO,IDA IMP ISS ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IPI IMP IGI ISO,IMP,IDA IMP IGI ISO,IDA IMP IGI ISO NAS,ISO,IDA IMP ISO,IDA IMP ISS ISO IBA,IDA,IMP,IMP ISO,ISO,ISS ISO,IMP IGI ISO,IMP,ISO,IDA,ISO,IDA ISO,ISO,IMP,ISO IBA,ISO,IDA IMP ISS ISO IBA TAS,IDA ISO,IGI IBA,ISO,IMP ISO,IMP,IDA IMP ISO,ISO,IMP,IDA IMP IGI ISO,IMP,ISO IBA,IDA;Id3,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Vim,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Peg3,Msx1,Rfxap,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Wnt3a,Irf2bpl,Lrrtm3,Clu,Asb4,Unc5c,Tpm1,Axin2,Gpm6a,Igfbp5,Wnt9a,Ednrb,Ccdc3,Sgk1,Rfx4,Dtl,Ooep,Cacng4,Pgrmc1,Kdr,Cdk6,Ldb2,Bambi,Stx3,Cux2,Maf,Fzd10,Tenm4,Bcl2,Slc1a3,Nrip1,Nenf
