query;significant;p_value;term_size;query_size;intersection_size;precision;recall;term_id;source;term_name;effective_domain_size;source_order;parents;evidence_codes;intersection
Clust.1;TRUE;4.85573994294732e-18;5419;144;88;0.611111111111111;0.0162391585163314;GO:0048522;GO:BP;positive regulation of cellular process;22779;14858;c("GO:0009987", "GO:0048518", "GO:0050794");ISO,ISO,IGI ISO,IDA IMP IGI ISS ISO,IDA IMP IGI ISO,ISS ISO IBA,IMP ISS ISO,IMP ISS ISO,IMP ISO,ISO,ISO,IDA IMP ISS ISO,IGI ISO,IDA IGI,IMP ISS ISO,ISO,ISO,IGI,IMP IGI ISO,IDA ISO,IDA IMP ISS ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IPI IGI ISO,IMP,IDA IMP IGI ISO,IDA IMP ISO,ISS ISO,IDA IGI ISO NAS,IDA IMP IGI ISS ISO,IMP ISS ISO,ISO,IDA IMP ISO,ISS ISO IBA,IDA IMP ISS ISO IBA,IDA,IMP,IDA IMP IGI ISS ISO IBA,IMP IGI,ISO,ISO,ISS ISO,ISO,IMP IGI ISO,IMP,ISO,IDA,ISO,IDA ISO,ISO,IMP,IGI,IDA,IDA,ISO IBA,ISO,IMP ISS ISO TAS,ISO,IDA IMP ISS ISO IBA TAS,ISO,IGI IBA,ISO,IMP ISO,IMP ISO,IMP ISO,IMP,ISO,ISS ISO,ISO,IMP,IDA IMP IGI ISO,IMP ISS ISO IBA,IMP,IDA IBA,ISO,IDA IMP IGI ISS ISO IBA,IMP ISO,IGI ISO,IMP ISO,IBA,IDA,ISS ISO IBA,ISO IBA,IDA,IDA,IMP,ISO,IDA ISO,ISS ISO;Id3,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Gnai2,Peg3,Msx1,Rfxap,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Fos,Cd63,Wnt3a,Notch2,Gnas,Irf2bpl,Lrrtm3,Nes,Clu,Asb4,Unc5c,Bmp2,Maged1,Tpm1,Axin2,Gpm6a,Rgs2,Igfbp5,Wnt9a,Ednrb,Ccdc3,Sgk1,Rfx4,Dtl,Ooep,Vldlr,Zcchc12,Pea15a,Cacng4,Pgrmc1,Cd81,Slit2,Kdr,Cdk6,Ldb2,Bambi,Pim1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Fzd10,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Pdia3,Sumo2,Lrp2,Ssbp2,H2-K1,Mtch1,Nrip1,Nenf,Efnb3,Shb,Tox2,Nfat5,Smarca1
Clust.1;TRUE;1.34904643330554e-16;2229;144;55;0.381944444444444;0.0246747420367878;GO:0007399;GO:BP;nervous system development;22779;3278;GO:0048731;IEP,IMP,ISO,IDA IMP IGI ISO IBA,IMP,IGI,IMP ISS ISO,IMP,IMP IGI IEP TAS,IMP,IDA IMP,IMP ISO,IMP,IMP,IDA IMP IGI ISS ISO IBA,IMP IGI IEP IBA,IMP IBA,IDA IMP IGI ISS ISO IBA,IEP,IMP,IDA IMP IGI ISO IBA TAS,IBA,ISO,IDA ISO,IDA ISS,ISS ISO,IDA IMP IGI ISS ISO IBA,IDA IGI ISO,IDA ISS ISO IBA,ISO,IMP,IBA,IDA IMP ISO,ISO IBA,IMP IBA,IMP IGI IEP,IDA IMP IGI ISO IBA,ISO,ISO,IBA,ISO,IMP,IMP ISS ISO IBA,IDA IMP,IDA IMP IGI ISS ISO IBA,IMP,IDA,ISO,IDA IMP IGI ISO,IMP ISO,IMP IGI,IDA IMP,IBA,IDA IMP IBA,IMP ISS ISO;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Wls,Cntnap2,Cited2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Tmem108,Hes1,Col2a1,Fos,Wnt3a,Notch2,Irf2bpl,Lrrtm3,Nes,Clu,Unc5c,Bmp2,Gpm6a,Rgs2,Folr1,Wnt9a,Ednrb,Sgk1,Rfx4,Vldlr,Slit2,Kdr,Cdk6,Ldb2,Stx3,Cux2,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Emb,Efnb3,Smarca1
Clust.1;TRUE;2.17953495045331e-16;5937;144;89;0.618055555555556;0.0149907360619842;GO:0048518;GO:BP;positive regulation of biological process;22779;14854;c("GO:0008150", "GO:0050789");IDA IGI ISO,IDA IGI ISO,IGI ISO,IDA IMP IGI ISS ISO,IDA IMP IGI ISO,IGI ISS ISO IBA,IMP ISS ISO,IMP ISS ISO,IMP ISO,ISO,ISO,IDA IMP ISS ISO,IGI ISO,IDA IGI,IMP ISS ISO TAS,ISO,ISO,IGI,IMP IGI ISO,IDA ISO,IDA IMP ISS ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IPI IMP IGI ISO,IMP,IDA IMP IGI ISO,IDA IMP ISO,ISS ISO,IDA IMP IGI ISO NAS,IDA IMP IGI ISS ISO,IMP ISS ISO,ISO,IDA IMP ISO,ISS ISO IBA,IDA IMP ISS ISO IBA,IDA,IMP,IDA IMP IGI ISS ISO IBA,IMP IGI,IMP ISO,IMP,ISO,ISS ISO,IMP ISO,IMP IGI ISO,IMP,ISO,IDA,ISO,IDA ISO,ISO,IMP,IGI,IDA,IDA,ISO IBA,ISO,IMP ISS ISO TAS,ISO,IDA IMP ISS ISO IBA TAS,IDA ISO,IGI IBA,ISO,IMP ISO,IMP ISO,IMP ISO,IMP,ISS ISO,ISS ISO,ISO,IMP,IDA IMP IGI ISO,IMP ISS ISO IBA,IMP,IDA IBA,ISO,IDA IMP IGI ISS ISO IBA,IMP ISO,IGI ISO,IMP ISO,IBA,IDA,ISS ISO IBA,ISO IBA,IDA,IDA,IMP,ISO,IDA ISO,ISS ISO;Id3,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Gnai2,Peg3,Msx1,Rfxap,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Fos,Cd63,Wnt3a,Notch2,Gnas,Irf2bpl,Lrrtm3,Nes,Clu,Asb4,Unc5c,Bmp2,Maged1,Tpm1,Atp2b1,Axin2,Gpm6a,Rgs2,Igfbp5,Wnt9a,Ednrb,Ccdc3,Sgk1,Rfx4,Dtl,Ooep,Vldlr,Zcchc12,Pea15a,Cacng4,Pgrmc1,Cd81,Slit2,Kdr,Cdk6,Ldb2,Bambi,Pim1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Fzd10,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Pdia3,Sumo2,Lrp2,Ssbp2,H2-K1,Mtch1,Nrip1,Nenf,Efnb3,Shb,Tox2,Nfat5,Smarca1
Clust.1;TRUE;2.26406419139487e-16;5456;144;85;0.590277777777778;0.0155791788856305;GO:0048856;GO:BP;anatomical structure development;22779;15160;GO:0032502;IDA IMP IGI IEP,IMP,IMP IGI ISO,ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IMP,ISS IBA,IMP IGI IEP TAS,IMP ISO IBA,IMP IGI ISS ISO IBA,IMP IGI,IMP,IDA IMP,IMP ISO TAS,IDA IMP ISO,IDA IPI IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO IBA,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IEP ISO IBA,IDA IMP,ISO,IDA IMP IGI ISO IBA TAS,IDA IMP IGI IEP ISS ISO IBA TAS,ISO,IMP,IMP ISO,ISO,IDA ISO,IDA IMP ISS,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI ISS ISO,IMP,IMP ISO,IMP,IDA IMP IGI ISO,IDA ISS ISO IBA,ISO,IMP IGI,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,ISO IBA,IMP IBA,IDA IMP IBA,IMP IGI IEP,IMP ISO,IDA IMP IGI ISO IBA,IMP,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IGI IBA,ISO,IMP,IDA ISO,IMP,IMP,ISO,IMP,ISO,IMP,IMP ISS ISO IBA,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IMP,IDA,IMP ISO,IDA IMP IGI ISS ISO,IMP ISO,IMP IGI,IDA IMP,IMP,IMP,IBA,IDA IMP IBA,IMP IGI,IMP ISS ISO;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Wls,Rhoc,Cntnap2,Sparc,Cited2,Lmo2,Nasp,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Fos,Cd63,Wnt3a,Notch2,Tagln2,Nxn,Gnas,Irf2bpl,Lrrtm3,Nes,Clu,Asb4,Unc5c,Bmp2,Maged1,Tpm1,Atp2b1,Axin2,Gpm6a,Rgs2,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Sgk1,Rfx4,Ooep,Vldlr,Cd81,Slit2,Fstl1,Kdr,Cdk6,Ldb2,Bambi,Adamts5,Pim1,Hs2st1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Prdx4,Nrip1,Emb,Efnb3,Shb,Smarca1
Clust.1;TRUE;2.43449241772048e-16;4523;144;77;0.534722222222222;0.0170240990493036;GO:0048731;GO:BP;system development;22779;15045;c("GO:0007275", "GO:0048856");IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IMP,IMP IGI IEP TAS,IMP ISO,IMP IGI ISS ISO,IMP IGI,IDA IMP,IMP ISO,IDA IMP ISO,IPI IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IEP ISO IBA,IDA IMP,IDA IMP IGI ISO IBA TAS,IDA IMP IGI IEP ISS ISO IBA TAS,IMP,IMP ISO,ISO,IDA ISO,IDA ISS,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI ISS ISO,IMP,IMP ISO,IMP,IMP IGI ISO,IDA ISS ISO IBA,ISO,IMP,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,ISO IBA,IMP IBA,IMP IGI IEP,IMP,IDA IMP IGI ISO IBA,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IGI IBA,ISO,IDA ISO,IMP,IMP,ISO,IMP,ISO,IMP,IMP ISS ISO IBA,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IMP,IDA,IMP ISO,IDA IMP IGI ISS ISO,IMP ISO,IMP IGI,IDA IMP,IMP,IMP,IBA,IDA IMP IBA,IMP IGI,IMP ISS ISO;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Wls,Cntnap2,Sparc,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Fos,Wnt3a,Notch2,Nxn,Gnas,Irf2bpl,Lrrtm3,Nes,Clu,Asb4,Unc5c,Bmp2,Maged1,Tpm1,Atp2b1,Axin2,Gpm6a,Rgs2,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Sgk1,Rfx4,Vldlr,Cd81,Slit2,Kdr,Cdk6,Ldb2,Bambi,Pim1,Hs2st1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Prdx4,Nrip1,Emb,Efnb3,Shb,Smarca1
Clust.1;TRUE;4.15015890102833e-16;4026;144;72;0.5;0.0178837555886736;GO:0048869;GO:BP;cellular developmental process;22779;15172;c("GO:0009987", "GO:0032502");IDA IMP IGI IBA,IMP,IMP IGI ISO IBA,ISO,IDA IMP IGI ISS ISO IBA,IMP IGI,IMP,IMP ISS ISO,IMP IGI TAS,IMP,IMP,IMP,ISO,IMP,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IEP,IDA IMP,IMP ISS ISO,IDA IMP IGI ISO IBA TAS,IDA IMP IEP ISS ISO TAS,ISO,IMP,IMP,ISS ISO,IDA,IDA IMP IGI IBA,IDA IMP IGI ISS ISO,ISO,IMP ISO,IDA ISS ISO IBA,IDA ISO,IMP IGI IEP,IMP,IMP IGI IBA,IDA IMP IGI ISO,IDA,IMP,ISO IBA,IMP IGI,IMP,IDA IMP IGI ISO IBA,IMP IBA,IDA IMP ISO IBA TAS,IMP ISS ISO,IDA,ISO,IMP,IMP,IMP ISO,ISO,IMP,ISO,IMP,IMP ISS ISO IBA,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IMP,IDA,ISO,IDA IMP IGI ISS ISO,IMP ISO,IMP IGI,IDA IMP,IBA,IDA IMP IBA,IMP,IMP;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Cntnap2,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Fos,Cd63,Wnt3a,Notch2,Tagln2,Gnas,Nes,Clu,Asb4,Unc5c,Bmp2,Tpm1,Axin2,Gpm6a,Rgs2,Igfbp5,Folr1,Wnt9a,Ednrb,Ccdc3,Rbm47,Sgk1,Vldlr,Cd81,Slit2,Fstl1,Kdr,Cdk6,Arl4a,Bambi,Adamts5,Pim1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Emb,Efnb3,Shb,Smarca1
Clust.1;TRUE;4.15015890102833e-16;3912;144;71;0.493055555555556;0.0181492842535787;GO:0030154;GO:BP;cell differentiation;22779;7722;GO:0048869;IDA IMP IGI IBA,IMP,IMP IGI ISO IBA,ISO,IDA IMP IGI ISS ISO IBA,IMP IGI,IMP,IMP ISS ISO,IMP IGI TAS,IMP,IMP,IMP,ISO,IMP,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP IGI,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IEP,IDA IMP,IMP ISS ISO,IDA IMP IGI ISO IBA TAS,IDA IMP IEP ISS ISO TAS,ISO,IMP,ISS ISO,IDA,IDA IMP IGI IBA,IDA IMP IGI ISS ISO,ISO,IMP ISO,IDA ISS ISO IBA,IDA ISO,IMP IGI IEP,IMP,IMP IGI IBA,IDA IMP IGI ISO,IDA,IMP,ISO IBA,IMP IGI,IMP,IDA IMP IGI ISO IBA,IMP IBA,IDA IMP ISO IBA TAS,IMP ISS ISO,IDA,ISO,IMP,IMP,IMP ISO,ISO,IMP,ISO,IMP,IMP ISS ISO IBA,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IMP,IDA,ISO,IDA IMP IGI ISS ISO,IMP ISO,IMP IGI,IDA IMP,IBA,IDA IMP IBA,IMP,IMP;Id3,Fabp7,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Cntnap2,Cited2,Lmo2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Fos,Cd63,Wnt3a,Notch2,Tagln2,Gnas,Clu,Asb4,Unc5c,Bmp2,Tpm1,Axin2,Gpm6a,Rgs2,Igfbp5,Folr1,Wnt9a,Ednrb,Ccdc3,Rbm47,Sgk1,Vldlr,Cd81,Slit2,Fstl1,Kdr,Cdk6,Arl4a,Bambi,Adamts5,Pim1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Emb,Efnb3,Shb,Smarca1
Clust.1;TRUE;5.844183726537e-16;4858;144;79;0.548611111111111;0.0162618361465624;GO:0007275;GO:BP;multicellular organism development;22779;3168;c("GO:0032501", "GO:0048856");IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISS ISO,IMP,IMP IGI IEP TAS,IMP ISO,IMP IGI ISS ISO IBA,IMP IGI,IMP,IDA IMP,IMP ISO TAS,IDA IMP ISO,IPI IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO IBA,IMP IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IEP ISO IBA,IDA IMP,IDA IMP IGI ISO IBA TAS,IDA IMP IGI IEP ISS ISO IBA TAS,IMP,IMP ISO,ISO,IDA ISO,IDA ISS,ISS ISO,IDA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI ISS ISO,IMP,IMP ISO,IMP,IDA IMP IGI ISO,IDA ISS ISO IBA,ISO,IMP,IMP,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,ISO IBA,IMP IBA,IDA IMP IBA,IMP IGI IEP,IMP,IDA IMP IGI ISO IBA,IDA IMP IGI ISO IBA TAS,IMP ISS ISO,IGI IBA,ISO,IDA ISO,IMP,IMP,ISO,IMP,ISO,IMP,IMP ISS ISO IBA,IDA IMP IGI,IDA IMP IGI ISS ISO IBA,IMP,IDA,IMP ISO,IDA IMP IGI ISS ISO,IMP ISO,IMP IGI,IDA IMP,IMP,IMP,IBA,IDA IMP IBA,IMP IGI,IMP ISS ISO;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Wls,Cntnap2,Sparc,Cited2,Lmo2,Nasp,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Fos,Wnt3a,Notch2,Nxn,Gnas,Irf2bpl,Lrrtm3,Nes,Clu,Asb4,Unc5c,Bmp2,Maged1,Tpm1,Atp2b1,Axin2,Gpm6a,Rgs2,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Sgk1,Rfx4,Ooep,Vldlr,Cd81,Slit2,Kdr,Cdk6,Ldb2,Bambi,Pim1,Hs2st1,Nfkbia,Stx3,Cux2,Camk2d,Prr7,Tenm4,Bcl2,Rest,Slc1a3,Dok5,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Prdx4,Nrip1,Emb,Efnb3,Shb,Smarca1
Clust.1;TRUE;7.66640186138879e-16;3346;144;65;0.451388888888889;0.0194261805140466;GO:0048513;GO:BP;animal organ development;22779;14849;c("GO:0048731", "GO:0048856");IGI IEP,IMP,IMP IGI,IMP IGI IEP ISS ISO,IMP IGI,IDA IMP IGI ISS IBA,IDA IMP ISO,IMP,IEP,IMP ISO,IMP IGI ISS ISO,IMP IGI,IMP,IMP,IPI IMP IGI ISO,IMP,IDA IMP IGI IEP ISS ISO IBA,IMP IGI ISO,IMP,IMP IGI IEP ISS ISO,IMP IEP ISO IBA,IDA IMP,IDA IMP IGI ISO TAS,IDA IMP IGI IEP ISS ISO TAS,IMP ISO,ISS,ISO,IMP ISS ISO,IDA IMP IGI ISS ISO,IMP,IMP ISO,IMP,IMP IGI ISO,IDA,ISO,IMP,IMP,IDA IMP IGI,IMP IGI,IMP,IMP IBA,IEP,IMP,IMP IGI ISO,IMP IGI ISO IBA,IMP ISS ISO,IGI,ISO,IDA ISO,IMP,IMP,ISO,IMP,IMP,IDA IMP IGI,IDA IMP,IMP,IDA IMP IGI ISS ISO,IMP,IMP IGI,IDA,IMP,IMP,IMP,IMP ISS ISO;Id3,Fabp7,Id1,Hes5,Rspo2,Sulf1,Ptn,Wls,Cntnap2,Sparc,Cited2,Lmo2,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Fos,Wnt3a,Notch2,Gnas,Nes,Clu,Unc5c,Bmp2,Maged1,Tpm1,Atp2b1,Axin2,Gpm6a,Rgs2,Igfbp5,Folr1,Wnt9a,Ednrb,Rbm47,Rfx4,Vldlr,Cd81,Slit2,Kdr,Cdk6,Ldb2,Bambi,Pim1,Hs2st1,Nfkbia,Camk2d,Prr7,Tenm4,Bcl2,Rest,Adamts1,Bmp7,Lrp2,Ext1,H2-K1,Prdx4,Nrip1,Shb,Smarca1
Clust.1;TRUE;8.16668686250683e-16;2586;144;57;0.395833333333333;0.0220417633410673;GO:0009653;GO:BP;anatomical structure morphogenesis;22779;4023;c("GO:0032502", "GO:0048856");IEP,IMP ISO,ISO,IEP,IMP IGI,IDA ISS ISO,IMP ISO,IMP,ISS IBA,IMP,ISO,IMP IGI,IMP,IMP,IDA ISO,IMP IGI ISO IBA,IMP ISS ISO,IMP IGI IEP ISS ISO IBA,IMP IGI IBA,IMP IBA,IMP IGI IEP,IMP IEP ISO,IDA IMP IGI ISO TAS,IMP IGI IEP ISS ISO TAS,IMP ISO,IMP,ISS ISO,IDA,IDA IMP IGI IBA,IDA IMP IGI ISO,IMP,IMP ISO,IDA IMP IGI ISO,IDA,IMP,IMP,IDA IMP,ISO IBA,IMP,IMP ISO,IDA IMP IGI ISO IBA,IDA IMP IGI ISO IBA,ISO,IMP,ISO,IMP,IMP,IMP ISS ISO,IDA IMP IGI,IMP,IMP ISO,IDA IMP IGI ISO,IMP ISO,IMP IGI,IBA,IDA IMP IBA,IMP IGI;Id3,Id1,Ezr,Hes5,Rspo2,Sulf1,Ptn,Wls,Rhoc,Cntnap2,Sparc,Cited2,Tpbg,Hspa5,Jam3,Msx1,Ntrk2,Sox9,Msx2,Tmem108,Hes1,Col2a1,Wnt3a,Notch2,Gnas,Nes,Clu,Asb4,Unc5c,Bmp2,Maged1,Tpm1,Axin2,Gpm6a,Igfbp5,Folr1,Wnt9a,Sgk1,Vldlr,Cd81,Slit2,Kdr,Bambi,Adamts5,Pim1,Hs2st1,Cux2,Tenm4,Bcl2,Slc1a3,Adamts1,Bmp7,Lrp2,Ext1,Emb,Efnb3,Shb
