status;family;pval;qval;gene_short_name;num_cells_expressed
OK;negbinomial;6.43713227455602e-92;2.52677960868274e-91;Hbb-y;6632
OK;negbinomial;4.67209121600879e-33;9.15305142772632e-33;Hba-x;3362
OK;negbinomial;5.48151823975863e-15;7.61616493016109e-15;Hba-a1;1365
OK;negbinomial;6.62424530864472e-131;3.80673297070117e-130;Tmsb4x;7508
OK;negbinomial;3.68828929074912e-07;4.31970838128497e-07;Hbb-bh1;643
OK;negbinomial;1.35499918454066e-09;1.67516320660193e-09;Hbb-bt;927
OK;negbinomial;1.2516115826244e-06;1.45089992498955e-06;Hba-a2;851
OK;negbinomial;5.05488597745255e-224;5.41954193104988e-223;Malat1;7507
OK;negbinomial;0;0;Nnat;7489
OK;negbinomial;2.13615051035702e-232;2.34867568868336e-231;Tubb3;6827
OK;negbinomial;0;0;Cdkn1a;1947
OK;negbinomial;1.92893262929398e-10;2.43090632522136e-10;Stmn2;1756
OK;negbinomial;0.0202716693846063;0.0212477857606161;Hbb-bs;286
OK;negbinomial;3.14048760969721e-119;1.6152149878037e-118;Tuba1a;7508
OK;negbinomial;0;0;Id3;5677
OK;negbinomial;4.74291123981454e-16;6.79134466564807e-16;Rtn1;4489
OK;negbinomial;1.15546743917335e-72;3.68347978020498e-72;Actg1;7508
OK;negbinomial;1.08297510614506e-49;2.60470017158773e-49;Ube2c;4906
OK;negbinomial;1.34435046583781e-101;5.91239847730711e-101;Cdkn1c;3582
OK;negbinomial;0;0;Rspo3;6504
OK;negbinomial;6.07805609318188e-81;2.11945159883608e-80;Actb;7507
OK;negbinomial;0;0;Fabp7;5465
OK;negbinomial;0;0;Rspo1;4639
OK;negbinomial;0.357589552926681;0.361956546057773;Calb2;289
OK;negbinomial;1.6772068755912e-16;2.41764603137059e-16;Ina;1689
OK;negbinomial;7.2393323804989e-23;1.18456805466782e-22;Gadd45g;3922
OK;negbinomial;3.68542739440754e-49;8.77579672369973e-49;Tfap2b;198
OK;negbinomial;0;0;Sox4;7335
OK;negbinomial;1.03592308207659e-16;1.50330925378792e-16;Sox11;7507
OK;negbinomial;1.26415914935258e-289;2.16211346575778e-288;Ccno;1297
OK;negbinomial;2.11307597300518e-29;3.8787723354567e-29;Cenpf;4204
OK;negbinomial;1.55879763745738e-30;2.91851338724644e-30;Hmgb2;6967
OK;negbinomial;0;0;Id1;4005
OK;negbinomial;4.69355722266855e-221;4.93395893407352e-220;Lhx1;793
OK;negbinomial;3.20845109963208e-34;6.36082071730187e-34;Stmn1;7508
OK;negbinomial;1.21834127039115e-08;1.4708825981473e-08;Ttr;1909
OK;negbinomial;0;0;Ezr;5468
OK;negbinomial;5.80790884231152e-89;2.2152289478197e-88;Tubb2b;7507
OK;negbinomial;6.1384135741085e-18;9.11666523239408e-18;Xist;5184
OK;negbinomial;0;0;mt-Co3;7508
OK;negbinomial;2.93218852207537e-69;9.00123399582965e-69;Igsf8;4788
OK;negbinomial;0;0;Serpine2;2318
OK;negbinomial;2.17260872222687e-51;5.35694713546785e-51;Neurog2;4980
OK;negbinomial;5.47129066969932e-173;4.25654562931482e-172;Elavl3;3815
OK;negbinomial;8.93455102599867e-16;1.2700499644477e-15;Meg3;2557
OK;negbinomial;5.08478606196472e-65;1.4787738142421e-64;H2afz;7506
OK;negbinomial;0;0;Ldha;6785
OK;negbinomial;1.10050330407491e-58;2.95340550470912e-58;Hes5;4577
OK;negbinomial;9.33592450979551e-09;1.12964162372877e-08;Hes6;5981
OK;negbinomial;1.85692955269203e-90;7.22325484846811e-90;Gap43;1880
OK;negbinomial;3.18733686860577e-30;5.94179148083515e-30;2810417H13Rik;4670
OK;negbinomial;2.93830039373742e-11;3.78484001703773e-11;Uncx;403
OK;negbinomial;7.23135869691722e-31;1.36458651417308e-30;Tbr1;1918
OK;negbinomial;6.9306328574111e-27;1.20935334475473e-26;Stmn4;615
OK;negbinomial;3.99439256458416e-141;2.48783698747944e-140;Stmn3;3543
OK;negbinomial;1.01413592895427e-45;2.33739350470209e-45;Arl6ip1;6739
OK;negbinomial;2.18211229485585e-17;3.20767530382971e-17;Map1b;7491
OK;negbinomial;1.59395657095692e-220;1.66746427689911e-219;Tubb5;7507
OK;negbinomial;2.31255102720683e-52;5.78809229225402e-52;Cnr1;1492
