G1.S;S;G2;G2.M;M.G1
E2f2;Mycbp2;Cflar;Cflar;Cyth3
Sec62;Phtf2;Cdkl5;Cdc27;Vcl
Ubr7;Adam22;Vta1;Zfp207;Zpbp
Hsf2;Brca1;Anln;Ncapd2;Opn3
Mri1;Abcc2;Nlrp2;Fyn;Hmg20b
Serpinb3a;Gclm;Bclaf1;Anln;Nucks1
Serpinb3c;Nup160;Polq;Tacc3;Cdc42
Serpinb3d;Cenpq;Hipk2;Depdc1a;Nup37
Serpinb3b;Rfc2;Ap3d1;Tomm34;Gnb1
Abca7;Rad51;Kdm4a;Hmgb3;Psen1
Pms1;Reep1;Klf6;Depdc1b;Dynll1
Mnt;Rad18;Dhx8;C6;BC048507
Mcm2;Ube2t;Nucks1;Ctnna1;Nos1
Tipin;Rad54l;Rdh11;Ptger3;Dsp
Mcm6;Coq9;Ttc38;Thrap3;Cdkn3
Ung;Crls1;Wdr62;Usp13;2700049A03Rik
Osbpl6;Cdc45;Kif22;Cnn2;Hif1a
Dis3;Efhc1;Ndc80;Hmg20b;Yy1
Orc1;Cdc7;Stk17b;Smarcd1;Tsc22d1
Ankrd10;Mzf1;G2e3;Prr11;Gspt1
Wdr76;Cenpm;Cbx5;Rnf126;Dctn6
Clspn;Srsf5;Trmt2a;Trip13;Plin3
Cdc6;a;Rangap1;Hmmr;Rab3a
Msh2;Rbbp8;Alkbh1;Nde1;Mtpn
Mzf1;Pola1;Fam83d;Tsg101;Dnajb6
Mcm5;Dmxl2;Mid1;Gtse1;Rheb
Pnn;Asf1b;Timp1;Spag5;Ncs1
E2f1;Casp2;Gabpb1;Tnpo1;Ube2s
Dnajc3;Ezh2;Armc1;B4galt1;Gm2296
Acd;Sh3gl2;Kctd9;Sephs1;Cryba1
Mcm4;Kat2a;Ebi3;Aurka;Nufip2
Ccne1;Rsrc2;Fzr1;Tpx2;Kpnb1
Casp2;Rad51ap1;Cyth2;Birc5;Ube2d2a
Fbxl20;Kat2b;Tnpo2;Zc3hc1;Grpel1
Med31;Abcc5;Met;G2e3;Hspa8
Luc7l3;Nfe2l2;Tubd1;Smarcb1;Ppp6r3
Map2k6;Dnajc6;Psmd11;Hps4;Pak1ip1
Mdm1;Phtf1;Wsb1;Rangap1;Srsf3
Rab23;Rpa2;Neil3;Cdc25b;Hmgcr
Gmnn;Hells;Rnf141;Ctcf;Ppp2ca
Lnpep;Mastl;Cdkn1b;Mcm4;Wwc1
