"Gene";"Waves";"Gene.Clusters";"q.val"
"Ttr";"Ttr";1;"Clust.1";7.52994756909694e-155
"Sulf1";"Sulf1";1;"Clust.1";2.62436841557148e-60
"Apoe";"Apoe";1;"Clust.1";1.41671852002523e-15
"Ccno";"Ccno";1;"Clust.1";5.96998432637974e-185
"Ezr";"Ezr";1;"Clust.1";3.85831775827616e-22
"Cdkn1c";"Cdkn1c";1;"Clust.1";9.03132836410377e-46
"Sostdc1";"Sostdc1";1;"Clust.1";9.26044567684455e-77
"Mest";"Mest";1;"Clust.1";2.62318370689869e-56
"Lhx2";"Lhx2";1;"Clust.1";1.63911031750732e-06
"Gmnc";"Gmnc";1;"Clust.1";3.94291154840995e-58
"Trp73";"Trp73";1;"Clust.1";4.85112037320142e-88
"Colec12";"Colec12";1;"Clust.1";8.31749214416319e-32
"Zic4";"Zic4";1;"Clust.1";9.65027449074474e-14
"Slc6a15";"Slc6a15";1;"Clust.1";2.6201673144962e-41
"Trpm3";"Trpm3";1;"Clust.1";1.3647874076142e-58
"Twist1";"Twist1";1;"Clust.1";4.32418566242794e-05
"Sstr2";"Sstr2";1;"Clust.1";1.85225858060633e-12
"Htr2c";"Htr2c";1;"Clust.1";8.88336402529353e-115
"Krt8";"Krt8";1;"Clust.1";7.68861204906644e-16
"Ednrb";"Ednrb";1;"Clust.1";5.25559538974047e-17
"Csrp2";"Csrp2";1;"Clust.1";1.56615543495767e-151
"Ooep";"Ooep";1;"Clust.1";2.02858339380412e-31
"Maf";"Maf";1;"Clust.1";1.41051167293063e-30
"Chrna3";"Chrna3";1;"Clust.1";3.29559187171086e-43
"Igfbp2";"Igfbp2";1;"Clust.1";4.85182147619914e-27
"Cthrc1";"Cthrc1";1;"Clust.1";2.39656627279792e-08
"Car2";"Car2";1;"Clust.1";1.50895688494022e-24
"E2f7";"E2f7";1;"Clust.1";2.144066592671e-65
"Pdzd2";"Pdzd2";1;"Clust.1";9.7933442883961e-34
"Sparc";"Sparc";1;"Clust.1";3.52522301749292e-28
"Nrp1";"Nrp1";1;"Clust.1";1.2328587279271e-12
"Rbm47";"Rbm47";1;"Clust.1";1.38919515817478e-12
"Folr1";"Folr1";1;"Clust.1";5.59070561822719e-13
"Lrrn1";"Lrrn1";1;"Clust.1";7.86233313307069e-06
"Emb";"Emb";1;"Clust.1";5.607337761848e-18
"Clu";"Clu";1;"Clust.1";1.63689752222496e-15
"Ctsd";"Ctsd";1;"Clust.1";2.54498275174464e-08
"Chodl";"Chodl";1;"Clust.1";4.62401099589268e-14
"Ogn";"Ogn";1;"Clust.1";8.98149125940203e-76
"Ccnd1";"Ccnd1";1;"Clust.1";1.95648715061286e-32
"Spry1";"Spry1";1;"Clust.1";8.42067569011802e-12
"Gdf5";"Gdf5";1;"Clust.1";6.90173892768517e-11
"Egr1";"Egr1";1;"Clust.1";3.33441705250475e-06
"Kcnq1ot1";"Kcnq1ot1";1;"Clust.1";5.35552766297598e-08
"Pou2f2";"Pou2f2";1;"Clust.1";6.60255036039512e-08
"Lmo4";"Lmo4";1;"Clust.1";1.38703971925618e-12
"Vat1l";"Vat1l";1;"Clust.1";8.36840586412774e-23
"Pou3f2";"Pou3f2";1;"Clust.1";5.82360021506419e-37
"Cebpb";"Cebpb";1;"Clust.1";5.56575133334926e-11
"Tfap2e";"Tfap2e";1;"Clust.1";2.76258679272422e-09
"Gpc3";"Gpc3";1;"Clust.1";3.144022925395e-17
"Olfm1";"Olfm1";1;"Clust.1";3.2590191186262e-11
"Eva1b";"Eva1b";1;"Clust.1";3.72458657413391e-24
"Npr3";"Npr3";1;"Clust.1";8.56953732256791e-17
"Yjefn3";"Yjefn3";1;"Clust.1";1.57157524475464e-24
"Igf1";"Igf1";1;"Clust.1";1.89824615344787e-10
"Calcrl";"Calcrl";1;"Clust.1";3.55146261279408e-25
"Slc16a10";"Slc16a10";1;"Clust.1";1.4355927123253e-46
"Cald1";"Cald1";1;"Clust.1";8.21528309482709e-15
"Cntn1";"Cntn1";1;"Clust.1";1.41226524088521e-25
"Gadd45b";"Gadd45b";1;"Clust.1";1.80811129480159e-17
"Rab15";"Rab15";1;"Clust.1";7.42028937699897e-46
"Irf2bpl";"Irf2bpl";1;"Clust.1";8.22534255846702e-17
"Gm13111";"Gm13111";1;"Clust.1";2.42769965429533e-24
"Clmn";"Clmn";1;"Clust.1";4.65177203570797e-26
"Cyr61";"Cyr61";1;"Clust.1";9.0708588442202e-12
"Myb";"Myb";1;"Clust.1";5.92070800175205e-112
