query;significant;p_value;term_size;query_size;intersection_size;precision;recall;term_id;source;term_name;effective_domain_size;source_order;parents;evidence_codes;intersection
query_1;TRUE;4.10958879989986e-25;4523;140;88;0.628571428571429;0.0194561131992041;GO:0048731;GO:BP;system development;22779;15045;c("GO:0007275", "GO:0048856");IBA,ISO,IDA,IDA IMP IBA,IMP,IMP,IBA,IDA,ISS,IMP,IGI,IMP IGI ISO IBA,IDA IMP IBA TAS,IMP,IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP ISS ISO,IMP IGI IEP TAS,IMP IGI ISS ISO,IDA IMP IGI IEP ISS ISO IBA,IMP IBA,IMP ISO,IDA IMP IGI ISS ISO IBA,IMP ISS ISO,IDA ISS ISO IBA,ISS ISO,IDA IMP,IMP ISO,IBA,IDA IMP IGI ISO IBA TAS,ISO,IDA IMP IGI IEP ISO IBA,IMP,IMP IGI ISO,ISO,ISO IBA,IMP,IMP IGI,IMP,IGI IBA,IDA IMP IGI ISO IBA TAS,IDA IMP IGI ISS ISO IBA,IMP,IMP ISO IBA,IDA IMP ISO IBA,IDA IMP IEP ISS ISO,IMP IGI ISO IBA TAS,IMP ISO IBA NAS,ISO IBA,IDA ISS,IMP,IMP IGI ISO,IMP,IMP IGI,IMP ISO,IDA IMP IEP ISS ISO,IMP,IMP IGI,IDA IMP IGI IEP TAS,IDA IMP IGI ISO,IDA IMP IGI,IMP IGI IBA,IMP IGI ISS ISO,IMP,IMP,IDA IMP IGI ISS ISO IBA NAS,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISO,IPI IMP IGI ISO,IDA IMP IBA,IDA IMP IGI IEP ISS ISO NAS,IDA ISO,ISO,IDA IMP IGI IBA,IDA,IMP,IMP,IMP,IMP IBA,IDA IMP IBA,IMP ISS ISO IBA,IMP IGI IEP,IMP,IMP ISS ISO IBA TAS;Nnat,Rgs2,Crip2,Adgrl3,Rspo3,H3f3b,Zic4,Nkd1,Runx1t1,Igsf21,Sp5,Zic3,Nr4a2,Dmrta2,Id3,Fabp7,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Hes1,Tmem108,Hspa5,Ntrk2,Egr1,Gpm6a,Clu,Tpbg,Tpm1,Emb,Kdr,Irf2bpl,Wnt7b,Slc1a3,Msx2,Stx3,Sgk1,Rbm47,Ext1,Cux2,Ldb2,Wnt3a,Unc5c,Nrip1,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Nrep,Olfm1,Tex15,Pax6,Cblb,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Igfbp5,Bfsp2,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Lrrtm3,Kcnk2,Wnt9a,Asb4,Nxn,Serpinh1,Folr1,Rfx4,Casz1,Tenm4,Vldlr,Hs2st1,Pdpn
query_1;TRUE;6.7047080412548e-25;2229;140;64;0.457142857142857;0.0287124270973531;GO:0007399;GO:BP;nervous system development;22779;3278;GO:0048731;IBA,ISO,IDA IMP IBA,IBA,ISS,IMP,IMP IBA,IDA IMP IBA TAS,IMP,IEP,IMP,ISO,IGI,IDA IMP IGI ISO IBA,IMP ISS ISO,IMP IGI IEP TAS,IMP,IDA IMP IGI ISS ISO IBA,IMP IBA,IMP ISO,IDA IMP IGI ISS ISO IBA,IDA ISS ISO IBA,ISS ISO,IDA IMP,IBA,ISO,ISO,IDA IMP IEP ISO IBA,IMP,ISO,ISO IBA,IMP IGI,IMP,IBA,IDA IMP IGI ISO IBA TAS,IDA IMP IGI ISS ISO IBA,IMP IBA,IDA IMP ISO IBA,IDA,ISO,IMP IBA NAS,ISO IBA,IDA,IMP IGI ISO,IMP,IDA IMP IEP ISS ISO,IMP,IMP,IMP IGI ISO,IDA,IGI,IMP,IDA IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IMP,IMP,IDA IMP IGI ISO,IDA ISO,IBA,IMP,IMP IBA,IDA IMP IBA,IMP ISS ISO IBA,IMP IGI IEP;Nnat,Rgs2,Adgrl3,Zic4,Runx1t1,Igsf21,Zic3,Nr4a2,Dmrta2,Id3,Fabp7,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Hes1,Tmem108,Hspa5,Ntrk2,Gpm6a,Clu,Tpbg,Emb,Kdr,Irf2bpl,Wnt7b,Slc1a3,Stx3,Sgk1,Ext1,Cux2,Ldb2,Wnt3a,Unc5c,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Nrep,Olfm1,Pax6,Rspo2,Mdk,Wls,Id2,Vim,Socs2,Sulf2,Zfp36l1,Zic1,Six3,Jam3,Msx1,Bmp4,Lrrtm3,Wnt9a,Folr1,Rfx4,Casz1,Tenm4,Vldlr
query_1;TRUE;4.69557815122066e-24;4858;140;89;0.635714285714286;0.0183202964182791;GO:0007275;GO:BP;multicellular organism development;22779;3168;c("GO:0032501", "GO:0048856");IBA,ISO,IDA,IDA IMP IBA,IMP ISS,IMP,IBA,IDA,ISS,IMP,IGI,IMP IGI ISO IBA,IDA IMP IBA TAS,IMP,IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP ISS ISO,IMP IGI IEP TAS,IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IBA,IMP ISO TAS,IDA IMP IGI ISS ISO IBA,IMP ISS ISO,IDA ISS ISO IBA,ISS ISO,IDA IMP,IMP ISO,IBA,IDA IMP IGI ISO IBA TAS,ISO,IDA IMP IGI IEP ISO IBA,IMP,IMP IGI ISO IBA,ISO,ISO IBA,IMP,IMP IGI,IMP,IGI IBA,IDA IMP IGI ISO IBA TAS,IDA IMP IBA,IDA IMP IGI ISS ISO IBA,IMP,IMP ISO IBA,IDA IMP ISO IBA,IDA IMP IEP ISS ISO,IMP IGI ISO IBA TAS,IMP ISO IBA NAS,ISO IBA,IDA ISS,IMP,IMP IGI ISO,IMP,IMP IGI ISO,IMP ISO,IDA IMP IEP ISS ISO,IMP,IMP IGI,IDA IMP IGI IEP TAS,IDA IMP IGI ISO,IDA IMP IGI,IMP IGI IBA,IMP IGI ISS ISO,IMP,IMP,IDA IMP IGI ISS ISO IBA NAS,IDA IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISO,IPI IMP IGI ISO IBA,IDA IMP IBA,IDA IMP IGI IEP ISS ISO NAS,IDA ISO,ISO,IDA IMP IGI IBA,IDA,IMP,IMP,IMP,IMP IBA,IDA IMP IBA,IMP ISS ISO IBA,IMP IGI IEP,IMP,IMP ISS ISO IBA TAS;Nnat,Rgs2,Crip2,Adgrl3,Rspo3,H3f3b,Zic4,Nkd1,Runx1t1,Igsf21,Sp5,Zic3,Nr4a2,Dmrta2,Id3,Fabp7,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Hes1,Tmem108,Hspa5,Ntrk2,Egr1,Gpm6a,Clu,Tpbg,Tpm1,Emb,Kdr,Irf2bpl,Wnt7b,Slc1a3,Msx2,Stx3,Sgk1,Rbm47,Ext1,Cux2,Ldb2,Wnt3a,Ooep,Unc5c,Nrip1,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Nrep,Olfm1,Tex15,Pax6,Cblb,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Igfbp5,Bfsp2,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Lrrtm3,Kcnk2,Wnt9a,Asb4,Nxn,Serpinh1,Folr1,Rfx4,Casz1,Tenm4,Vldlr,Hs2st1,Pdpn
query_1;TRUE;3.62141446089796e-23;5902;140;96;0.685714285714286;0.0162656726533379;GO:0032502;GO:BP;developmental process;22779;8814;GO:0008150;IBA,IDA IEP ISO,IDA,IDA IMP IBA,IMP ISS,IMP IGI,IBA,IDA IMP,IDA IMP ISS,IMP,IGI,IMP IGI ISO IBA,IDA IMP IBA TAS,IDA,IMP IBA,IDA IMP IGI IEP IBA,IMP,IMP IGI ISO IBA,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP ISS ISO,IMP IGI IEP TAS,IMP IGI ISS ISO IBA,ISS IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IBA,IMP ISO TAS,IDA IMP IGI ISS ISO IBA,IMP ISS ISO,IDA ISS ISO IBA,ISS ISO,IDA IMP,IDA,IMP ISO,IBA,IDA IMP IGI ISO IBA TAS,ISO,IDA IMP IGI IEP ISO IBA,IMP,IDA IMP IGI ISO IBA,ISO,ISO IBA,IMP,IMP IGI,IMP,IGI IBA,IDA IMP IGI ISO IBA TAS,IDA IMP IBA,IDA IMP IGI ISS ISO IBA,IMP,IMP ISO IBA,IDA IMP ISS ISO IBA,IDA IMP IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,IMP ISO IBA NAS,ISO IBA,IMP ISO,IDA ISS,IMP,IMP IGI ISO IBA,IMP,IGI ISO,IMP IGI ISO,IMP ISO IBA,IDA IMP IEP ISS ISO,IMP,IMP IGI,IDA IMP IGI IEP IBA TAS,IDA IMP IGI ISO,IDA IMP IGI,IMP IGI IBA,IDA IMP IGI ISS ISO,IMP IGI IEP,IMP,IDA IMP IGI ISS ISO IBA NAS,IDA IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISO,IDA IPI IMP IGI ISO IBA,IDA IMP IBA,IDA IMP IGI IEP ISS ISO NAS,IDA ISO,ISO,IDA,IDA IMP IGI IBA,IDA,IMP,IMP,IMP,IMP IBA,IDA IMP IBA,IMP IBA,IMP ISS ISO IBA,IMP IGI IEP,IMP,IDA IMP ISS ISO IBA TAS;Nnat,Rgs2,Crip2,Adgrl3,Rspo3,H3f3b,Zic4,Nkd1,Runx1t1,Igsf21,Sp5,Zic3,Nr4a2,Prelp,Dmrta2,Id3,Fabp7,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Rhoc,Hes1,Tmem108,Hspa5,Ntrk2,Egr1,Gpm6a,Clu,Tpbg,Ccdc3,Tpm1,Emb,Kdr,Irf2bpl,Wnt7b,Slc1a3,Msx2,Stx3,Sgk1,Rbm47,Ext1,Cux2,Ldb2,Wnt3a,Ooep,Unc5c,Nrip1,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Nrep,Zfp503,Olfm1,Tex15,Pax6,Cblb,Ezr,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Igfbp5,Bfsp2,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Lrrtm3,Kcnk2,Arl4a,Wnt9a,Asb4,Nxn,Serpinh1,Folr1,Rfx4,Casz1,Fstl1,Tenm4,Vldlr,Hs2st1,Pdpn
query_1;TRUE;8.3946611883306e-23;5456;140;92;0.657142857142857;0.0168621700879765;GO:0048856;GO:BP;anatomical structure development;22779;15160;GO:0032502;IBA,ISO,IDA,IDA IMP IBA,IMP ISS,IMP IGI,IBA,IDA IMP,ISS,IMP,IGI,IMP IGI ISO IBA,IDA IMP IBA TAS,IMP,IDA IMP IGI IEP,IMP,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP IGI IEP ISS ISO IBA,IDA IMP ISS ISO,IMP IGI IEP TAS,IMP IGI ISS ISO IBA,ISS IBA,IDA IMP IGI IEP ISS ISO IBA,IMP IBA,IMP ISO TAS,IDA IMP IGI ISS ISO IBA,IMP ISS ISO,IDA ISS ISO IBA,ISS ISO,IDA IMP,IMP ISO,IBA,IDA IMP IGI ISO IBA TAS,ISO,IDA IMP IGI IEP ISO IBA,IMP,IMP IGI ISO IBA,ISO,ISO IBA,IMP,IMP IGI,IMP,IGI IBA,IDA IMP IGI ISO IBA TAS,IDA IMP IBA,IDA IMP IGI ISS ISO IBA,IMP,IMP ISO IBA,IDA IMP ISO IBA,IDA IMP IEP ISS ISO IBA,IDA IMP IGI ISO IBA TAS,IMP ISO IBA NAS,ISO IBA,IDA ISS,IMP,IMP IGI ISO IBA,IMP,ISO,IMP IGI ISO,IMP ISO IBA,IDA IMP IEP ISS ISO,IMP,IMP IGI,IDA IMP IGI IEP TAS,IDA IMP IGI ISO,IDA IMP IGI,IMP IGI IBA,IDA IMP IGI ISS ISO,IMP IGI,IMP,IDA IMP IGI ISS ISO IBA NAS,IDA IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IDA IMP ISO,IDA IPI IMP IGI ISO IBA,IDA IMP IBA,IDA IMP IGI IEP ISS ISO NAS,IDA ISO,ISO,IDA IMP IGI IBA,IDA,IMP,IMP,IMP,IMP IBA,IDA IMP IBA,IMP,IMP ISS ISO IBA,IMP IGI IEP,IMP,IDA IMP ISS ISO IBA TAS;Nnat,Rgs2,Crip2,Adgrl3,Rspo3,H3f3b,Zic4,Nkd1,Runx1t1,Igsf21,Sp5,Zic3,Nr4a2,Dmrta2,Id3,Fabp7,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Rhoc,Hes1,Tmem108,Hspa5,Ntrk2,Egr1,Gpm6a,Clu,Tpbg,Tpm1,Emb,Kdr,Irf2bpl,Wnt7b,Slc1a3,Msx2,Stx3,Sgk1,Rbm47,Ext1,Cux2,Ldb2,Wnt3a,Ooep,Unc5c,Nrip1,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Nrep,Olfm1,Tex15,Pax6,Cblb,Ezr,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Igfbp5,Bfsp2,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Lrrtm3,Kcnk2,Wnt9a,Asb4,Nxn,Serpinh1,Folr1,Rfx4,Casz1,Fstl1,Tenm4,Vldlr,Hs2st1,Pdpn
query_1;TRUE;1.45925794437369e-22;3346;140;73;0.521428571428571;0.0218170950388524;GO:0048513;GO:BP;animal organ development;22779;14849;c("GO:0048731", "GO:0048856");IBA,ISO,IDA,IBA,IMP,IMP,IDA,IGI,IMP IGI ISO,IMP,IMP,IGI IEP,IMP,IMP IGI,IDA IMP IGI ISS IBA,IMP IGI IEP ISS ISO,IDA IMP ISO,IEP,IMP IGI ISS ISO,IMP IGI IEP ISS ISO,IMP,IMP,IMP,IMP ISS ISO,IDA,ISO,IMP ISO,IMP IGI ISO IBA,IDA IMP IEP,IMP IGI ISO,IMP,IMP IGI,IGI,IDA IMP IGI ISO TAS,IMP ISS ISO,IMP,ISO,IMP,IDA IMP ISS ISO,IMP IGI IBA TAS,IBA,ISS,IMP,IMP IGI ISO,IMP IGI,IMP ISO,IMP IEP ISS ISO,IMP,IMP IGI,IDA IMP IGI TAS,IDA,IMP IGI,IMP IGI IBA,IMP IGI ISS ISO,IMP,IMP,IDA IMP ISS ISO,IMP IGI ISO,IDA IMP IGI ISS ISO IBA,IMP,IPI IMP IGI ISO,IDA IMP IBA,IDA IMP IGI IEP ISS ISO NAS,ISO,IDA IMP IGI,IMP,IMP,IMP IBA,IDA IMP,IMP,IEP,IMP,IMP ISS ISO IBA TAS;Nnat,Rgs2,Crip2,Adgrl3,Rspo3,H3f3b,Nkd1,Sp5,Zic3,Nr4a2,Dmrta2,Id3,Fabp7,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Hes1,Tmem108,Hspa5,Ntrk2,Egr1,Gpm6a,Clu,Tpm1,Kdr,Wnt7b,Msx2,Rbm47,Ext1,Ldb2,Wnt3a,Unc5c,Nrip1,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Olfm1,Tex15,Pax6,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Igfbp5,Bfsp2,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Kcnk2,Wnt9a,Serpinh1,Folr1,Rfx4,Casz1,Tenm4,Vldlr,Hs2st1,Pdpn
query_1;TRUE;1.28801624722088e-21;5419;140;90;0.642857142857143;0.0166082303007935;GO:0048522;GO:BP;positive regulation of cellular process;22779;14858;c("GO:0009987", "GO:0048518", "GO:0050794");IMP IBA,ISO,IDA,IBA,IDA,IMP,IDA IMP ISO,ISO,IDA,IDA ISO IBA,IDA IMP IGI ISO,IDA,IMP,ISO,ISO,ISS ISO IBA,IDA IMP IGI ISS ISO,IMP ISS ISO,ISO,IDA IMP ISS ISO,IMP ISO,IDA IMP IGI ISO,IGI,IMP,IMP ISS ISO,IDA IMP ISS ISO IBA,IDA ISO,IDA IMP ISS ISO,ISS ISO,IDA IMP ISS ISO IBA,ISO,IDA IGI,IDA,IDA ISO,ISO,IDA IMP ISS ISO IBA TAS,ISO,IDA IMP ISO IBA,IMP,IDA IPI IGI ISO,IMP ISO,ISO,IMP,IGI IBA,IDA IGI ISO NAS,IMP,IMP,ISO IBA,IMP,ISO IBA,ISO,IDA,IGI,IDA IMP ISS ISO IBA,ISS ISO,IGI ISO IBA,IMP IBA,ISS ISO,IDA IMP IGI ISO,IDA,IGI ISO,IDA IMP IGI ISO,ISO,IMP ISS ISO,IMP ISS ISO,IGI ISO,IDA IMP IGI ISO,ISO,IDA,IMP ISO IBA,IDA IMP ISS ISO,IMP IGI ISO,IDA,ISO,IDA,ISO,IMP IGI ISO,IDA IMP ISO,IDA IMP IGI ISS ISO IBA TAS,IDA IMP ISO,ISO,ISO,IMP,IDA,IDA ISO,ISO,IMP,IGI,IDA IMP ISS ISO IBA,ISO;Nnat,Rgs2,Crip2,Ddah2,Adgrl3,Mapre2,Rspo3,H3f3b,Nkd1,Zic3,Nr4a2,Edil3,Dmrta2,Id3,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Rhoc,Hes1,Peg3,Tmem108,Hspa5,Ntrk2,Gadd45b,Egr1,Gpm6a,Clu,Gnai2,Tpbg,Ccdc3,Rfxap,Tpm1,Kdr,Irf2bpl,Wnt7b,Slc1a3,Msx2,Stx3,Sgk1,Cux2,Ldb2,Wnt3a,Ooep,Unc5c,Cacng4,Mid1ip1,Nrip1,Pgrmc1,Nenf,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Olfm1,Pax6,Cblb,Ezr,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Igfbp5,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Lrrtm3,Kcnk2,Fzd10,Wnt9a,Asb4,Rfx4,Casz1,Tenm4,Vldlr,Pdpn,Cst3
query_1;TRUE;4.61444145038221e-21;2586;140;63;0.45;0.0243619489559165;GO:0009653;GO:BP;anatomical structure morphogenesis;22779;4023;c("GO:0032502", "GO:0048856");IMP,IDA IMP,IGI,IMP IGI ISO,IMP,IEP,IMP ISO,IDA ISS ISO,IEP,IMP ISO,IMP,IMP IGI,ISS IBA,IMP IGI IEP,IMP IBA,IMP,IMP ISS ISO,IDA,ISS ISO,IMP,IMP ISO,IBA,IDA IMP IGI ISO IBA,IDA IMP IGI ISO,IMP,IMP IGI IBA,ISO IBA,IMP IGI,IMP,IDA IMP IGI ISO TAS,IDA IMP IGI IBA,IMP,IMP IBA,IMP,IDA,IMP ISO IBA NAS,IDA ISS,IMP IGI ISO,ISO,IMP IGI,ISO,IDA IMP ISS ISO,IMP,IDA IMP IEP,ISO,IMP,IMP,IMP,ISS,IDA IMP IGI ISO,IDA IMP,IDA ISO,IMP IGI ISO IBA,IDA IMP IGI IEP ISS ISO,IDA IMP,IDA,IMP,IMP,IDA IMP,IMP ISS ISO,IMP,IMP,IDA IMP ISS ISO IBA;Rspo3,Nkd1,Sp5,Zic3,Nr4a2,Id3,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Rhoc,Hes1,Tmem108,Hspa5,Ntrk2,Gpm6a,Clu,Tpbg,Tpm1,Emb,Kdr,Wnt7b,Slc1a3,Msx2,Sgk1,Ext1,Cux2,Wnt3a,Unc5c,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Olfm1,Pax6,Ezr,Rspo2,Sparc,Mdk,Wls,Id2,Vim,Sulf2,Zfp36l1,Igfbp5,Zic1,Axin2,Six3,Jam3,Msx1,Bmp4,Wnt9a,Asb4,Serpinh1,Folr1,Casz1,Tenm4,Vldlr,Hs2st1,Pdpn
query_1;TRUE;1.69363366963821e-19;5937;140;91;0.65;0.0153276065352872;GO:0048518;GO:BP;positive regulation of biological process;22779;14854;c("GO:0008150", "GO:0050789");IMP IBA,IMP ISO,IDA,IBA,IDA,IMP,IDA IMP ISO,ISO,IDA ISO,IDA ISO IBA,IDA IMP IGI ISO,IDA,IMP,IDA IGI ISO,IDA IGI ISO,IGI ISS ISO IBA,IDA IMP IGI ISS ISO,IMP ISS ISO,ISO,IDA IMP ISS ISO,IMP ISO,IDA IMP IGI ISO,IGI,IMP,IMP ISS ISO TAS,IDA IMP ISS ISO IBA,IDA ISO,IDA IMP ISS ISO,ISS ISO,IDA IMP ISS ISO IBA,ISO,IDA IGI,IDA,IDA ISO,IMP ISO,IDA IMP ISS ISO IBA TAS,ISO,IDA IMP ISO IBA,IMP,IDA IPI IMP IGI ISO,IMP ISO,ISO,IMP,IGI IBA,IDA IMP IGI ISO NAS,IMP,IMP,ISO IBA,IMP,ISO IBA,ISO,IDA,IGI,IDA IMP ISS ISO IBA,ISS ISO,IMP IGI ISS ISO IBA,IMP IBA,ISS ISO,IDA IMP IGI ISO,IDA IMP ISO,IGI ISO,IDA IMP IGI ISO,ISO,IMP ISS ISO,IMP ISS ISO,IGI ISO,IDA IMP IGI IEP ISO,IMP ISO,IDA,IMP IGI ISO IBA,IDA IMP ISS ISO,ISO,IMP IGI ISO,IDA,ISO,IDA,ISO,IMP IGI ISO,IDA IMP ISO,IDA IMP IGI ISS ISO IBA TAS,IDA IMP ISO,ISO,ISO,IMP,IDA,IDA ISO,ISO,IMP,IGI,IDA IMP ISS ISO IBA,ISO;Nnat,Rgs2,Crip2,Ddah2,Adgrl3,Mapre2,Rspo3,H3f3b,Nkd1,Zic3,Nr4a2,Edil3,Dmrta2,Id3,Id1,Sulf1,Hes5,Ptn,Cntnap2,Cited2,Rhoc,Hes1,Peg3,Tmem108,Hspa5,Ntrk2,Gadd45b,Egr1,Gpm6a,Clu,Gnai2,Tpbg,Ccdc3,Rfxap,Tpm1,Kdr,Irf2bpl,Wnt7b,Slc1a3,Msx2,Stx3,Sgk1,Cux2,Ldb2,Wnt3a,Ooep,Unc5c,Cacng4,Mid1ip1,Nrip1,Pgrmc1,Nenf,Stmn1,Sox11,Nr2f2,Kit,Sema6a,Olfm1,Pax6,Cblb,Ezr,Rspo2,Sparc,Mdk,Wls,Lmo2,Id2,Vim,Socs2,Sulf2,Zfp36l1,Tle1,Igfbp5,Zic1,Axin2,Six3,Jam3,Msx1,Maf,Bmp4,Lrrtm3,Kcnk2,Fzd10,Wnt9a,Asb4,Rfx4,Casz1,Tenm4,Vldlr,Pdpn,Cst3
query_1;TRUE;4.3803672532481e-18;1803;140;50;0.357142857142857;0.0277315585135885;GO:0009888;GO:BP;tissue development;22779;4210;GO:0048856;ISO,IMP,IDA IMP,IMP IGI ISO,IMP,IDA,IMP ISO,IDA IMP ISS,IMP IGI IEP ISO,IDA IMP,IMP ISO,ISS,IMP IGI IEP ISO,IMP ISS ISO,IMP ISO,IDA IMP ISO IBA TAS,IMP,IMP IGI ISO,IMP,IGI,IMP IGI ISO,ISS ISO,IMP,IMP ISO,IBA,ISS,IMP ISO,ISO,IMP IGI,IMP ISS ISO,IMP,IMP IGI,IDA,IMP,IDA IMP ISS ISO,IMP,IMP,IDA IMP ISO,IDA IMP,IMP IGI ISO,IMP IBA,IDA IMP IGI IEP ISS ISO NAS,ISO,IDA IMP IGI,IMP,IMP,IMP,IMP,IMP,IMP ISS ISO IBA TAS;Rgs2,Rspo3,Nkd1,Zic3,Dmrta2,Id3,Id1,Sulf1,Hes5,Ptn,Cited2,Rhoc,Hes1,Egr1,Tpm1,Kdr,Wnt7b,Msx2,Ext1,Ldb2,Wnt3a,Unc5c,Sox11,Nr2f2,Sema6a,Olfm1,Pax6,Ezr,Rspo2,Mdk,Wls,Id2,Vim,Sulf2,Zfp36l1,Igfbp5,Bfsp2,Axin2,Six3,Msx1,Maf,Bmp4,Kcnk2,Wnt9a,Serpinh1,Folr1,Fstl1,Tenm4,Hs2st1,Pdpn
