query;significant;p_value;term_size;query_size;intersection_size;precision;recall;term_id;source;term_name;effective_domain_size;source_order;parents;evidence_codes;intersection
Clust.1;TRUE;0.00878415119662818;16;19;2;0.105263157894737;0.125;GO:0050811;GO:MF;GABA receptor binding;21964;9061;GO:0005102;ISO IBA,ISO TAS;Gabarap,Plcl1
Clust.1;TRUE;0.0241134096825324;37;19;2;0.105263157894737;0.0540540540540541;GO:0048487;GO:MF;beta-tubulin binding;21964;8392;GO:0015631;ISO,ISO;Rgs2,Gabarap
Clust.1;TRUE;0.0385250078106681;3;19;1;0.0526315789473684;0.333333333333333;GO:0010852;GO:MF;cyclase inhibitor activity;21964;2834;c("GO:0004857", "GO:0010851");IMP;Rgs2
Clust.1;TRUE;0.0385250078106681;2;19;1;0.0526315789473684;0.5;GO:0016403;GO:MF;dimethylargininase activity;21964;3504;GO:0016813;ISS ISO IBA;Ddah2
Clust.1;TRUE;0.0385250078106681;3;19;1;0.0526315789473684;0.333333333333333;GO:0010854;GO:MF;adenylate cyclase regulator activity;21964;2836;GO:0010852;IMP;Rgs2
Clust.1;TRUE;0.0385250078106681;3;19;1;0.0526315789473684;0.333333333333333;GO:0010855;GO:MF;adenylate cyclase inhibitor activity;21964;2837;GO:0010854;IMP;Rgs2
Clust.1;TRUE;0.0385250078106681;317;19;3;0.157894736842105;0.00946372239747634;GO:0015631;GO:MF;tubulin binding;21964;3350;GO:0008092;ISO,IDA ISO,IDA ISO IBA;Rgs2,Gabarap,Mapre2
Clust.1;TRUE;0.0449274284508439;4;19;1;0.0526315789473684;0.25;GO:0070326;GO:MF;very-low-density lipoprotein particle receptor binding;21964;9848;GO:0070325;IPI;Reln
Clust.2;TRUE;0.000583595729024339;12;29;3;0.103448275862069;0.25;GO:2000052;GO:BP;positive regulation of non-canonical Wnt signaling pathway;22779;29283;c("GO:0030177", "GO:0035567", "GO:2000050");IMP,IDA,IDA;Rspo3,Wnt5a,Nkd1
Clust.2;TRUE;0.00232695188952847;23;29;3;0.103448275862069;0.130434782608696;GO:2000050;GO:BP;regulation of non-canonical Wnt signaling pathway;22779;29281;c("GO:0030111", "GO:0035567");IMP,IDA,IDA;Rspo3,Wnt5a,Nkd1
Clust.2;TRUE;0.00473842602660869;33;29;3;0.103448275862069;0.0909090909090909;GO:0071542;GO:BP;dopaminergic neuron differentiation;22779;19573;GO:0030182;IDA IMP IGI,IDA IBA TAS,IMP;Wnt5a,Nr4a2,Dmrta2
Clust.2;TRUE;0.00698273487662968;8;29;2;0.0689655172413793;0.25;GO:0060028;GO:BP;convergent extension involved in axis elongation;22779;16860;c("GO:0003401", "GO:0060026");IMP IGI,IMP;Wnt5a,Nkd1
Clust.2;TRUE;0.00698273487662968;8;29;2;0.0689655172413793;0.25;GO:1905331;GO:BP;negative regulation of morphogenesis of an epithelium;22779;28237;c("GO:0002009", "GO:0051093", "GO:1905330");IMP,IMP;Wnt5a,Nkd1
Clust.2;TRUE;0.00698273487662968;7;29;2;0.0689655172413793;0.285714285714286;GO:0038030;GO:BP;non-canonical Wnt signaling pathway via MAPK cascade;22779;11164;GO:0035567;IMP,IDA;Wnt5a,Nkd1
Clust.2;TRUE;0.00698273487662968;295;29;5;0.172413793103448;0.0169491525423729;GO:0007548;GO:BP;sex differentiation;22779;3413;GO:0003006;IMP,IMP ISO,IBA,IMP,IMP IBA;H3f3b,Wnt5a,Dmrta2,Jmjd1c,Dmrt3
Clust.2;TRUE;0.00698273487662968;50;29;3;0.103448275862069;0.06;GO:0035567;GO:BP;non-canonical Wnt signaling pathway;22779;10485;GO:0016055;IMP,IDA IMP IGI ISO,IDA;Rspo3,Wnt5a,Nkd1
Clust.2;TRUE;0.00698273487662968;6;29;2;0.0689655172413793;0.333333333333333;GO:0038031;GO:BP;non-canonical Wnt signaling pathway via JNK cascade;22779;11165;GO:0038030;IMP,IDA;Wnt5a,Nkd1
Clust.2;TRUE;0.00752155005836667;163;29;4;0.137931034482759;0.0245398773006135;GO:0046661;GO:BP;male sex differentiation;22779;14287;c("GO:0007275", "GO:0007548");IMP,IMP,IMP,IMP IBA;H3f3b,Wnt5a,Jmjd1c,Dmrt3
Clust.2;TRUE;0.00972471397281773;3289;29;13;0.448275862068966;0.00395256916996047;GO:0051252;GO:BP;regulation of RNA metabolic process;22779;15722;c("GO:0016070", "GO:0019219", "GO:0060255");IBA,IDA ISO,IDA IMP IBA,IDA IBA,IDA ISS ISO IBA,IMP,IDA IBA,IDA ISO IBA,IDA IMP IGI ISO IBA,IBA,ISO IBA,IBA,IBA;Zic4,Wnt5a,Zbtb20,Khdrbs2,Runx1t1,Lrp8,Sp5,Zic3,Nr4a2,Dmrta2,Tnrc6b,Jmjd1c,Dmrt3
Clust.2;TRUE;0.00972471397281773;861;29;7;0.241379310344828;0.00813008130081301;GO:0007417;GO:BP;central nervous system development;22779;3293;c("GO:0007399", "GO:0048731");IBA,IDA IMP IGI,IMP IGI IEP IBA,IBA,IMP IBA,IMP,IMP;Zic4,Wnt5a,Lrp8,Zic3,Nr4a2,Dmrta2,Dmrt3
