Gene;Waves;Gene.Clusters;q.val;ABCs
Malat1;1;Clust.1;1.25075332227638e-95;2834.23
Nnat;1;Clust.1;0;2108.212
Stmn1;1;Clust.1;6.5272787928075e-78;564.418
Reln;1;Clust.1;1.20778523380864e-61;39.517
Samd3;1;Clust.1;7.09299128385489e-58;15517.157
Lmo4;1;Clust.1;8.60650660860834e-46;85.074
Zfp503;1;Clust.1;3.34899461861345e-124;71.677
Sema6a;1;Clust.1;1.3736341761269e-154;99.068
Nsg2;1;Clust.1;4.55082820583932e-79;59.391
Ralgps2;1;Clust.1;5.95551019086242e-189;151.149
Cd24a;1;Clust.1;2.23097109695187e-41;5.186
Robo2;1;Clust.1;1.52506383814621e-46;3.638
Rgs2;1;Clust.1;1.49737626532612e-84;8.464
Nrep;1;Clust.1;2.95401831099999e-45;78.794
Crip2;1;Clust.1;5.20137102761758e-71;84.497
Aplp1;1;Clust.1;1.01380713102263e-80;23.37
Ddah2;1;Clust.1;3.97045461421076e-125;173.368
6330403K07Rik;1;Clust.1;9.16422673302616e-179;182.494
Mir124-2hg;1;Clust.1;1.07019835415671e-41;14.489
Gabarap;1;Clust.1;2.09532317213374e-61;65.575
Cxxc5;1;Clust.1;1.36182428160669e-97;72.234
Celf2;1;Clust.1;9.04397990541927e-60;117.091
Cdh4;1;Clust.1;4.37261426863515e-46;34.469
Spats2l;1;Clust.1;1.07753411534471e-122;36.013
App;1;Clust.1;1.18033123492642e-62;75.941
Plcl1;1;Clust.1;7.86137940763737e-46;9.637
Cacng2;1;Clust.1;5.56218805783157e-53;1450.876
Tsc22d1;1;Clust.1;1.0259363609494e-61;55.986
Pnmal2;1;Clust.1;1.04082951599927e-51;4.212
Mapre2;1;Clust.1;2.27442910459453e-50;26.805
Zic2;1;Clust.1;1.16513863886446e-142;84.687
Trim9;1;Clust.1;5.34818106506009e-115;26.041
5930412G12Rik;1;Clust.1;2.82923078413633e-58;15.554
1190002N15Rik;1;Clust.1;1.51826450776037e-60;42.782
Maged2;1;Clust.1;2.44533661023642e-62;42.085
Cox20;1;Clust.1;3.08086207647499e-44;36.498
Id3;2;Clust.2;0;950.03
Fabp7;2;Clust.2;1.06428718212651e-103;452.233
Rspo1;2;Clust.2;0;582.71
Sulf1;2;Clust.2;1.66191529246108e-317;128.129
Mest;2;Clust.2;0;108.386
Ly6h;2;Clust.2;0;206.478
Cntnap2;2;Clust.2;0;270.051
Cited2;2;Clust.2;0;278.661
Peg3;2;Clust.2;4.02813073504915e-292;164.511
Wnt7b;2;Clust.2;4.95211997383736e-131;50.37
Htra1;2;Clust.2;1.37011217678629e-42;12.652
Hspa5;2;Clust.2;1.6399386132963e-53;31.457
Fos;2;Clust.2;8.14685350634888e-67;31.375
Tmem108;2;Clust.2;4.61038825237613e-237;87.939
Flrt2;2;Clust.2;6.6188255160232e-175;72.554
Fth1;2;Clust.2;6.00301475498287e-56;71.53
Pcp4l1;2;Clust.2;2.13222083034411e-106;16.295
Chl1;2;Clust.2;6.84787621211705e-53;9.294
Ntrk2;2;Clust.2;4.15001715891011e-198;54.417
Gadd45b;2;Clust.2;1.65861040699485e-53;31.222
Gpm6a;2;Clust.2;1.36685951086214e-187;45.984
Rfxap;2;Clust.2;1.60083140327855e-186;76.812
Gnas;2;Clust.2;1.00349085068086e-96;141.261
Clu;2;Clust.2;4.78017353663275e-180;35.528
Zic5;2;Clust.2;4.71180832858026e-225;192.71
Adamts5;2;Clust.2;2.37095279233729e-101;16.457
Egr1;2;Clust.2;5.85274567900467e-61;25.809
Slc14a2;2;Clust.2;4.85322841673485e-177;33.693
Atp2b1;2;Clust.2;2.58185304323734e-176;83.795
Clic6;2;Clust.2;5.22617116743368e-52;9.889
Galnt14;2;Clust.2;1.34576640381661e-209;5.065
Nkain4;2;Clust.2;1.55070247029993e-70;14.155
