query;significant;p_value;term_size;query_size;intersection_size;precision;recall;term_id;source;term_name;effective_domain_size;source_order;parents;evidence_codes;intersection
query_1;TRUE;1.6249995674711e-32;85;160;26;0.1625;0.305882352941176;GO:0002181;GO:BP;cytoplasmic translation;22779;850;GO:0006412;IBA,ISO,ISO,IBA,IBA,ISS ISO,IBA,ISO,IDA,ISO,ISO IBA,ISO,ISS ISO,IBA,IBA,IBA,ISO,ISO,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO,ISO IBA,IBA,ISO;Eif4a1,Rps2,Rpl41,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Pkm,Rpl18a,Rpl8,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rpl13a,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Rpl22,Rpl38
query_1;TRUE;2.10370369625888e-27;542;160;41;0.25625;0.0756457564575646;GO:0006412;GO:BP;translation;22779;2404;c("GO:0010467", "GO:0034645", "GO:0043043", "GO:0044267");ISO,ISS ISO,IBA,ISO IBA,IDA ISO,ISS ISO,ISO,IBA,ISO,IMP IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA,ISO,IBA,IGI,ISO,ISO IBA,ISO IBA,ISS ISO,ISO,ISS ISO,IBA,ISO IBA,IBA,ISO,ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO IC,IMP ISO IBA,IDA IMP IBA,ISO,IMP ISO;Calr,Sox4,Eif4a1,Rps2,Gapdh,Npm1,Rpl41,Eif5a,Rps17,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rpl23,Rps4x,Rpl27a,Rpl18a,Rps9,Rpl8,Rps3a1,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Rpl22,Rpl5,Rpl38
query_1;TRUE;5.50381758293521e-27;561;160;41;0.25625;0.0730837789661319;GO:0043043;GO:BP;peptide biosynthetic process;22779;12114;c("GO:0006518", "GO:0043604", "GO:1901566");ISO,ISS ISO,IBA,ISO IBA,IDA ISO,ISS ISO,ISO,IBA,ISO,IMP IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA,ISO,IBA,IGI,ISO,ISO IBA,ISO IBA,ISS ISO,ISO,ISS ISO,IBA,ISO IBA,IBA,ISO,ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO IC,IMP ISO IBA,IDA IMP IBA,ISO,IMP ISO;Calr,Sox4,Eif4a1,Rps2,Gapdh,Npm1,Rpl41,Eif5a,Rps17,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rpl23,Rps4x,Rpl27a,Rpl18a,Rps9,Rpl8,Rps3a1,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Rpl22,Rpl5,Rpl38
query_1;TRUE;6.42395386027692e-25;5400;160;103;0.64375;0.0190740740740741;GO:0034641;GO:BP;cellular nitrogen compound metabolic process;22779;10007;c("GO:0006807", "GO:0044237");IDA IMP ISO IBA,IDA IMP IGI IBA,ISS ISO,IMP ISS ISO,IMP ISO IBA,ISO,IDA IMP ISO IBA,IDA ISO IBA,IDA IMP ISS ISO IBA,ISS IBA,ISO,IDA IMP,IDA ISO IBA,ISO,IBA,ISO IBA,ISO,IMP ISS ISO IBA,IDA ISO IBA,IDA IMP ISS ISO IBA,ISO,ISO,ISS ISO,IDA IGI ISO IBA,ISO IBA,IGI ISS ISO,ISS ISO,IDA ISS ISO TAS,IBA,IBA,ISS ISO NAS,ISO,IDA IBA,IDA IBA,IDA ISS ISO IBA,ISO,ISO NAS,IMP ISO,IDA IMP IGI ISS ISO IBA,IDA ISO IBA,ISO,ISS ISO IBA,ISO,IDA ISO,IMP ISS ISO IBA,IDA IMP IBA,IMP,IBA,ISO,IMP IBA,IMP ISS ISO,IMP IBA,IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA ISO IBA,ISO,ISO,IBA,ISO,IGI,IDA ISO IBA,ISO,ISO IBA,ISO IBA,ISS ISO,ISO IBA,ISO,ISS ISO,IBA,ISO IBA,ISO IBA,IBA,ISO,ISO,ISO,IMP ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO IBA,ISS ISO IBA,ISO,ISS ISO IBA,ISS ISO IBA,IMP ISO,ISO IC,IMP ISO IBA,IMP,IDA IMP IBA,ISO,ISS ISO IBA,IMP ISO,IDA,ISS ISO,IBA,ISO IBA,IDA IBA,IBA,IDA IMP IGI ISO IBA,IBA;Nfib,Lhx2,Epha5,Hspa8,Bcl11a,Calr,Thra,Foxg1,Sox4,Lhx9,Dynll1,Tagln3,Nfix,Chd3,Eif4a1,Rps2,Ptma,Hmgb1,Gapdh,Npm1,Rpl41,Sfrp1,Ppia,Id4,Dut,Ccnd1,Ran,Hsp90aa1,Eif5a,Aldoc,Nme2,Rps17,Bach2,Sox21,Dctpp1,Hspd1,Nme1,Tgfb2,Pou3f3,Pbx1,Gnl3,Nop10,Ivns1abp,Ybx3,Lyar,Fezf2,Ddit4,Emx1,Epha4,Sms,Mt3,Rplp1,Rpsa,Rps8,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rps19,Rpl23,Rps4x,Rpl14,Rpl27a,Pgk1,Rpl18a,Rps9,Rpl8,Rps3a1,Rps16,Rpl11,Rpl18,Rpl22l1,Rpl26,Rps7,Rpl15,Rps25,Rps13,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Snrpg,Rpl30,Rpl6,Rps28,Rps6,Rpl19,Rpl24,Naca,Rpl22,Rpl5,Rtraf,Rpl38,Tle4,Rpl27,Sp8,Plagl1,Arx,Rpl7a,Lef1,Hk2
query_1;TRUE;3.09039156869129e-24;668;160;41;0.25625;0.061377245508982;GO:0043604;GO:BP;amide biosynthetic process;22779;12445;c("GO:0043603", "GO:0044271");ISO,ISS ISO,IBA,ISO IBA,IDA ISO,ISS ISO,ISO,IBA,ISO,IMP IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA,ISO,IBA,IGI,ISO,ISO IBA,ISO IBA,ISS ISO,ISO,ISS ISO,IBA,ISO IBA,IBA,ISO,ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO IC,IMP ISO IBA,IDA IMP IBA,ISO,IMP ISO;Calr,Sox4,Eif4a1,Rps2,Gapdh,Npm1,Rpl41,Eif5a,Rps17,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rpl23,Rps4x,Rpl27a,Rpl18a,Rps9,Rpl8,Rps3a1,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Rpl22,Rpl5,Rpl38
query_1;TRUE;3.25785126796659e-24;716;160;42;0.2625;0.058659217877095;GO:0006518;GO:BP;peptide metabolic process;22779;2494;c("GO:0043603", "GO:1901564");ISO,ISS ISO,IBA,ISO IBA,IDA ISO,ISS ISO,ISO,IBA,ISO,ISO,IMP IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA,ISO,IBA,IGI,ISO,ISO IBA,ISO IBA,ISS ISO,ISO,ISS ISO,IBA,ISO IBA,IBA,ISO,ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO IC,IMP ISO IBA,IDA IMP IBA,ISO,IMP ISO;Calr,Sox4,Eif4a1,Rps2,Gapdh,Npm1,Rpl41,Eif5a,Rps17,Epha4,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rpl23,Rps4x,Rpl27a,Rpl18a,Rps9,Rpl8,Rps3a1,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Rpl22,Rpl5,Rpl38
query_1;TRUE;3.50699931989569e-22;1357;160;52;0.325;0.0383198231392778;GO:1901566;GO:BP;organonitrogen compound biosynthetic process;22779;24858;c("GO:1901564", "GO:1901576");IGI,ISO,ISS ISO,IBA,ISO,IBA,ISO IBA,IDA ISO,ISS ISO,ISO,ISO IBA,IBA,ISO NAS,ISO,NAS,IMP,IBA,ISS ISO IBA,IBA,IMP,IMP IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA ISO,ISO,IBA,IGI,ISO,ISO IBA,ISO IBA,ISS ISO,ISO,ISS ISO,IBA,ISO IBA,IBA,ISO,ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO IC,IMP ISO IBA,IDA IMP IBA,ISO,IMP ISO;Fabp5,Calr,Sox4,Ckb,Pgap1,Eif4a1,Rps2,Gapdh,Npm1,Rpl41,Dut,Eif5a,Nme2,Rps17,Nme1,Tgfb2,Psat1,Itm2b,Sms,Mt3,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rpl23,Rps4x,Rpl27a,Rpl18a,Rps9,Rpl8,Rps3a1,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Rpl22,Rpl5,Rpl38
query_1;TRUE;5.01351200897634e-21;236;160;26;0.1625;0.110169491525424;GO:0042254;GO:BP;ribosome biogenesis;22779;11644;GO:0022613;ISO,IDA IMP ISO IBA,ISO IBA,ISO,ISO IBA,ISS ISO IBA,IBA,IBA,IBA,ISO IBA,ISO IBA,ISO IBA,ISO,ISO IBA,IBA,ISO IBA,ISO,IBA,IBA,ISS ISO IBA,IMP ISO,IMP,ISO IBA,IDA,ISS ISO,IBA;Rps2,Npm1,Ran,Rps17,Nop10,Lyar,Rpsa,Rps8,Rplp0,Rps19,Rpl14,Rps16,Rpl11,Rpl26,Rpl3,Rps7,Rps25,Rps21,Rpl6,Rps28,Rps6,Rpl24,Rpl5,Rpl38,Rpl27,Rpl7a
query_1;TRUE;5.92706999153593e-21;5055;160;94;0.5875;0.018595450049456;GO:0009058;GO:BP;biosynthetic process;22779;3663;GO:0008152;IDA IMP ISO IBA,IDA IMP IGI IBA,ISS ISO,ISS ISO,IMP IGI,IMP ISO IBA,ISO,IDA IMP ISO IBA,ISO IBA,IDA ISO IBA,IDA IMP ISS ISO IBA,ISS IBA,IBA,ISO,IDA IMP,IDA ISO IBA,ISO,ISO,IBA,ISO,ISO IBA,ISO,IMP ISO IBA,IDA ISO,IDA IMP ISS ISO IBA,ISO,ISO,ISS ISO,IDA IGI ISO IBA,ISO IBA,IGI ISS ISO,IDA ISS ISO TAS,IBA,ISS ISO NAS,ISO,IDA IBA,IDA IBA,ISO,NAS,IDA IMP IBA,IMP ISS ISO,IBA,IDA IMP IGI ISS ISO IBA,IDA ISO IBA,ISO,ISS ISO,IDA ISO,IMP ISO IBA,ISS ISO IBA,IDA IMP IBA,IBA,IBA,IMP ISS ISO,IC,IMP IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA ISO,ISO,IBA,IGI,ISO IBA,ISO,ISO IBA,ISO IBA,ISS ISO,ISO,ISS ISO,IBA,ISO IBA,IBA,ISO,IMP ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO,ISO,ISS ISO IBA,ISS ISO,ISO IC,IMP ISO IBA,IMP,IDA IMP IBA,ISO,ISS ISO,IMP ISO,IDA,IBA,ISO IBA,IDA IBA,IDA IMP IGI ISO IBA;Nfib,Lhx2,Epha5,Hspa8,Fabp5,Bcl11a,Calr,Thra,Fdps,Foxg1,Sox4,Lhx9,Ckb,Dynll1,Tagln3,Nfix,Pgap1,Chd3,Eif4a1,Mif,Rps2,Ptma,Hmgb1,Gapdh,Npm1,Rpl41,Sfrp1,Ppia,Id4,Dut,Ccnd1,Hsp90aa1,Eif5a,Nme2,Rps17,Bach2,Sox21,Hspd1,Nme1,Dct,Tgfb2,Psat1,Pou3f3,Pbx1,Gnl3,Nop10,Ybx3,Lyar,Itm2b,Fezf2,Emx1,Sms,Mt3,Ldha,Rplp1,Rpsa,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rpl23,Rps4x,Rpl27a,Pgk1,Rpl18a,Rps9,Rpl8,Rps3a1,Rpl11,Rpl18,Rpl22l1,Rpl26,Rpl15,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Rpl30,Rpl6,Rps28,Rpl19,Rpl24,Naca,Rpl22,Rpl5,Rtraf,Rpl38,Tle4,Sp8,Plagl1,Arx,Lef1
query_1;TRUE;9.09178564317321e-21;8161;160;119;0.74375;0.0145815463791202;GO:0006807;GO:BP;nitrogen compound metabolic process;22779;2765;GO:0008152;IDA IMP ISO IBA,IDA IMP IGI IBA,ISS ISO,IMP ISS ISO IBA,IGI,IMP ISO IBA,ISS ISO IBA,ISO IBA,IDA IMP ISO IBA,IDA ISO IBA,IDA IMP ISS ISO IBA,ISS IBA,IBA,ISO,IDA IMP,IDA ISO IBA,ISO,ISO,IBA,ISO,IDA ISO,ISO IBA,ISO,IDA IMP ISS ISO IBA,IDA ISS ISO IBA,IDA IMP ISS ISO IBA,ISO,IGI ISO,ISS ISO IBA,IDA IGI ISO IBA,ISO,ISO IBA,IDA IGI ISS ISO IBA,ISS ISO,IDA IMP ISS ISO TAS,IBA,IBA,ISS ISO NAS,ISO,IDA IBA,IDA IBA,IDA ISS ISO IBA,ISO,ISO NAS,IDA IMP IBA,IDA IMP ISS ISO IBA,IBA,IDA IMP IGI ISS ISO IBA,IDA ISO IBA,ISO,ISS ISO IBA,ISS ISO,IDA ISO,IMP ISS ISO IBA,ISS ISO,ISS ISO IBA,ISS ISO IBA,IMP ISO,IDA IMP IBA,IMP ISS ISO,IBA,IDA IGI ISS ISO,IMP IBA,IMP ISS ISO,IMP IBA,IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA ISO IBA,IBA,ISO,ISO,IBA,ISO,IGI,IDA ISO IBA,ISO,ISS ISO,ISO IBA,ISO IBA,ISS ISO,ISO IBA,IMP ISO,ISS ISO,IBA,ISO IBA,ISO IBA,IBA,ISO,ISO,ISO,IMP ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO IBA,ISS ISO IBA,ISO,ISS ISO IBA,ISS ISO IBA,IMP ISO,ISO IC,IMP ISO IBA,IMP,IDA IMP IBA,ISO,ISS ISO IBA,IMP ISO,ISS ISO,IDA,ISS ISO,IBA,ISO IBA,IDA IBA,IBA,IDA IMP IGI ISO IBA,IBA;Nfib,Lhx2,Epha5,Hspa8,Fabp5,Bcl11a,Uchl1,Calr,Thra,Foxg1,Sox4,Lhx9,Ckb,Dynll1,Tagln3,Nfix,Pgap1,Chd3,Eif4a1,Mmd2,Mif,Rps2,Ptma,Hmgb1,Gapdh,Npm1,Rpl41,Sfrp1,Ppia,Id4,Anp32b,Dut,Ccnd1,Ran,Hsp90aa1,Eif5a,Aldoc,Nme2,Rps17,Bach2,Sox21,Dctpp1,Hspd1,Nme1,Dct,Tgfb2,Psat1,Pou3f3,Pbx1,Gnl3,Nop10,Ivns1abp,Ybx3,Lyar,Arl6ip1,Ube2s,Itm2b,Nrp1,Fezf2,Ddit4,Emx1,Epha4,Sms,Mt3,Rplp1,Rpsa,Rps8,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rps27a,Rps19,Rpl23,Rps4x,Rpl14,Rpl27a,Pgk1,Rpl18a,Fam162a,Rps9,Rpl8,Rps3a1,Rps16,Rpl11,Rpl18,Rpl22l1,Rpl26,Rps7,Rpl15,Rps25,Rps13,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Snrpg,Rpl30,Rpl6,Rps28,Rps6,Rpl19,Rpl24,Naca,Rpl22,Rpl5,Rtraf,Rpl38,Ephb1,Tle4,Rpl27,Sp8,Plagl1,Arx,Rpl7a,Lef1,Hk2
query_1;TRUE;1.22028210584716e-20;341;160;29;0.18125;0.0850439882697947;GO:0022613;GO:BP;ribonucleoprotein complex biogenesis;22779;7611;GO:0044085;ISO,IDA IMP ISO IBA,ISO IBA,ISO,ISO,ISO IBA,ISS ISO IBA,IBA,IBA,IBA,ISO IBA,ISO IBA,ISO IBA,ISO,ISO IBA,IBA,ISO IBA,ISO,ISO,IBA,ISS ISO,IBA,ISS ISO IBA,IMP ISO,IMP,ISO IBA,IDA IBA,ISS ISO,IBA;Rps2,Npm1,Ran,Hsp90aa1,Rps17,Nop10,Lyar,Rpsa,Rps8,Rplp0,Rps19,Rpl14,Rps16,Rpl11,Rpl26,Rpl3,Rps7,Rps25,Rpl13a,Rps21,Snrpg,Rpl6,Rps28,Rps6,Rpl24,Rpl5,Rpl38,Rpl27,Rpl7a
query_1;TRUE;1.22028210584716e-20;8915;160;124;0.775;0.0139091418956814;GO:0044237;GO:BP;cellular metabolic process;22779;12696;c("GO:0008152", "GO:0009987");IDA IMP ISO IBA,IDA IMP IGI IBA,ISS ISO IBA,IMP ISS ISO IBA,IMP IGI,IMP ISO IBA,ISS ISO IBA,ISO IBA,IDA IMP ISO IBA,ISO IBA,IDA ISO IBA,IDA IMP ISS ISO IBA,ISS IBA,IBA,ISO,IDA IMP,IDA ISO IBA,ISO IBA,ISO,IBA,IDA,ISO,IDA ISO,ISO IBA,ISO,IDA IMP ISS ISO IBA,IDA ISS ISO IBA,IDA IMP ISS ISO IBA,ISO,IGI ISO,ISS ISO IBA,IDA IGI ISO IBA,ISO,ISO IBA,IDA IGI ISS ISO IBA,ISS ISO,IDA IMP ISS ISO TAS,ISO IBA,ISS ISO IBA,ISS ISO NAS,ISO,IDA IBA,IDA IBA,IDA ISS ISO IBA,ISO,ISO NAS,IDA IMP IBA,IDA IMP ISS ISO IBA,IBA,IDA IMP IGI ISS ISO IBA,IDA ISO IBA,ISO,ISO IBA,ISS ISO IBA,ISS ISO,IDA ISO,IMP ISS ISO IBA,ISS ISO,ISS ISO IBA,ISS ISO IBA,IMP ISO,IDA IMP IBA,IMP ISS ISO,IBA,IDA IGI ISS ISO IBA,IMP IBA,IMP ISS ISO,IMP ISO IC,IMP IBA,IBA,IBA,ISS ISO,IBA,ISO IC,IBA,IDA ISO IBA,IBA,IBA,ISO,ISO,IBA,ISO,IGI,IDA ISS ISO IBA,ISO,ISS ISO,ISO IBA,ISO IBA,ISS ISO,ISO IBA,IMP ISO,ISS ISO,IBA,ISO IBA,ISO IBA,IBA,ISO,ISO,ISO,IMP ISO,IDA ISO IBA,IMP ISS ISO IBA,ISS ISO IBA,ISS ISO IBA,ISO,ISS ISO IBA,ISS ISO IBA,IMP ISO,ISO IC,IMP ISO IBA,IMP,IDA IMP IBA,ISO,ISS ISO IBA,IMP ISO,ISS ISO IBA,IDA,ISS ISO,IBA,ISO IBA,IDA IBA,IBA,IDA IMP IGI ISO IBA,IMP ISS ISO IBA;Nfib,Lhx2,Epha5,Hspa8,Fabp5,Bcl11a,Uchl1,Calr,Thra,Fdps,Foxg1,Sox4,Lhx9,Ckb,Dynll1,Tagln3,Nfix,Pgap1,Chd3,Eif4a1,Slc25a5,Mmd2,Mif,Rps2,Ptma,Hmgb1,Gapdh,Npm1,Rpl41,Sfrp1,Ppia,Id4,Anp32b,Dut,Ccnd1,Ran,Hsp90aa1,Eif5a,Aldoc,Nme2,Rps17,Bach2,Sox21,Dctpp1,Hspd1,Nme1,Dct,Tgfb2,Psat1,Pou3f3,Pbx1,Gnl3,Chst2,Nop10,Ivns1abp,Ybx3,Lyar,Arl6ip1,Ube2s,Itm2b,Nrp1,Fezf2,Ddit4,Emx1,Epha4,Sms,Mt3,Ldha,Rplp1,Rpsa,Rps8,Rps26,Rplp0,Rpl32,Rpl12,Pkm,Rps27a,Lix1,Rps19,Rpl23,Rps4x,Rpl14,Rpl27a,Pgk1,Rpl18a,Fam162a,Rps9,Rpl8,Rps3a1,Rps16,Rpl11,Rpl18,Rpl22l1,Rpl26,Rps7,Rpl15,Rps25,Rps13,Rpl39,Rps3,Rpl13a,Rack1,Rps21,Snrpg,Rpl30,Rpl6,Rps28,Rps6,Rpl19,Rpl24,Naca,Rpl22,Rpl5,Rtraf,Rpl38,Ephb1,Tle4,Rpl27,Sp8,Plagl1,Arx,Rpl7a,Lef1,Hk2
