spring1,spring2
-1021.51244,1649.44647
2770.1868,306.4604
-621.21705,1956.62685
1449.32023,1388.46493
2370.71977,1815.86526
-759.7164,1704.19981
-981.12451,1734.7461
-1007.43153,1529.09606
1592.71137,2054.11613
1181.22799,1672.72294
-108.11878,869.66776
-870.82361,1167.46442
1650.75936,1475.51009
-551.05576,1075.40283
2579.29093,1562.85582
1234.36022,2081.68584
803.93136,3797.37379
790.51054,3546.63016
1907.42254,1974.8118
1430.5169,1377.87637
1533.31301,1937.73795
2065.66665,1656.05362
870.61252,3984.75825
-826.74252,1744.14631
-1134.42068,1778.32586
1060.18232,1995.64037
1323.02589,2071.8105
941.63922,2031.79079
-67.71123,905.27012
-235.11851,925.57948
-83.60717,970.43739
2358.51973,1828.02978
1038.95688,2101.9062
1452.8398,1585.32423
1945.61724,1516.62901
-1043.52479,1793.11336
-706.57078,1119.26158
-724.29438,1782.34757
1100.63929,2082.82057
-980.71497,1286.0658
-741.82462,1568.33004
2262.52553,1913.25841
-1047.73796,1382.06558
2845.24274,491.34617
2730.00941,1435.50027
-1012.96985,1647.6782
1286.2444,1682.0825
1228.83786,2055.69754
1643.50913,1796.21002
711.22841,2145.27169
2531.12409,1723.04011
1251.31633,2039.93329
1288.45558,2082.51851
1651.63085,1706.71083
2877.34896,975.36939
-514.81303,1625.73417
-798.39071,1875.4727
2162.01299,1580.33065
177.38282,3151.10104
1376.198,1894.40793
1776.85462,1759.93743
805.42352,4208.89692
-700.6321,1593.11033
-997.121855437802,3541.15226785829
1610.90249,1898.13656
184.92284,1500.84475
1779.04252,1959.67064
2756.53501,1598.95296
-165.23838,1044.65352
702.95103,2439.62335
2335.0443,1859.86463
2745.33385,1611.95078
-822.24597,1655.21839
1469.90368,2083.0557
1289.00434,1681.95641
1371.2329,1997.84588
-925.33161,1337.01823
-246.25002,2269.44394
1385.52405,1831.99967
-585.59358,1859.61341
-958.57103,1263.21389
745.6269,3756.67513
-748.47463,1150.33455
-768.79226,1588.42483
-852.71884,1910.17214
-111.26857,966.12621
-556.2917,1204.72542
-169.58198,896.08596
652.9357,4583.64492
1188.57571,2096.84113
889.47448,1943.6069
-764.32312,1311.22977
-889.84477,1852.78288
1706.85154,2064.57674
2496.97747,1788.13819
1478.00725,2068.63311
1833.47303,1674.99761
2240.3007,1421.30282
166.01025,2292.96384
-541.35299,1194.56629
-597.83078,1010.47104
2558.80054,1712.40043
828.43846,3290.52219
291.52377,1106.4523
523.61338,1593.165
1650.5211,2035.0528
1842.917,1829.89231
1590.98534,1803.16497
1580.53569,1925.05369
-820.05403,1561.43734
-668.4906,1153.47968
-352.31163,826.91588
1153.92826,2082.91934
-558.78509,1410.10865
1276.09386,1938.1705
301.88302,4461.94283
-688.27437,1182.3101
-181.2324,910.94918
-135.49968,1979.63287
-917.69845,1342.49516
1523.4677,1698.14489
-1124.41954,1739.98514
1684.27819,1918.46041
-1138.12392,1717.86088
187.96721,3751.37559
766.84522,3805.94912
1087.60388,2068.26763
-136.04538,1288.64885
-999.9436,1325.39101
629.74511,3081.47558
652.20906,4604.32137
824.90315,3284.21466
1678.36341,1331.42994
-363.10949,1038.27578
